options);

In main2_4 (line 32)
[x,fval,exitFlag,output] = simulannealbnd(@objectFun, pstart,lb,ub, ...
 
>> main2_4 

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
     0          1        0.19773        0.19773            100
*   65         76       0.193342       0.223898         15.195
*  137        158       0.193342        1.10371         11.019
*  203        234       0.193342       0.251353        13.2988
*  267        308       0.193041       0.315968        18.0834
*  327        378        0.19166       0.235487        21.1259
   400        451       0.189134       0.197883        1.15536
*  406        467       0.189134       0.217114        12.0521
*  479        550       0.189134       0.586573         9.2081
*  540        621       0.189134       0.607951        13.0825
*  602        693       0.189134       0.534309        15.6876
*  670        771       0.189134       0.215014        11.5074
*  736        847       0.189134       0.247519        14.8329
   800        911       0.189134       0.416313        1.29551
*  809        930       0.189134       0.545651        11.0884
*  873       1004       0.185109       0.229399        12.5179
*  947       1088       0.185109       0.444454        13.1805
* 1010       1161       0.185109       0.226448         9.5696
* 1086       1247       0.185109       0.208856        10.9303
* 1154       1325       0.185109        0.20386        25.3794
  1200       1371       0.185109       0.857828        1.75655
* 1212       1393       0.185109       0.825626        10.0537
* 1286       1477       0.183807       0.231712        16.9547
* 1348       1549       0.183807        0.23773        10.8742
* 1418       1629       0.183807       0.480155        15.1221
* 1491       1712       0.183807       0.305302        14.2004
* 1561       1792       0.183807       0.269632        11.3239
  1600       1831       0.183807       0.465363         1.8797
* 1631       1872       0.183807       0.542394        12.5254
* 1696       1947       0.183807       0.254936        13.4084
* 1763       2024       0.183807       0.276831        11.3149
* 1833       2104       0.183807        0.27612        18.5246
* 1894       2175       0.183807       0.234131        25.8642
* 1963       2254       0.183807       0.552545        12.5619
  2000       2291       0.183807       0.212057        1.96682
* 2028       2329       0.183807       0.311937        16.4308
* 2092       2403       0.183807       0.496219        13.2512
* 2162       2483       0.183807       0.199441        11.2364
* 2237       2568       0.183807       0.445101        14.5542
* 2308       2649       0.183807       0.208534        9.65841
* 2384       2735       0.183807        0.34549        14.3287
  2400       2751       0.183807       0.214865        3.66141
* 2456       2817       0.183807       0.219472        12.3427
* 2526       2897       0.183807       0.608539        10.5088
* 2603       2984       0.183807       0.270141        12.1826
* 2675       3066       0.183807        0.19006        14.4245
* 2740       3141       0.183807       0.273054        29.2311
  2800       3201       0.183807       0.994137        1.37954
* 2809       3220       0.183807       0.810149        10.8414
* 2877       3298       0.183807       0.811974        13.3812
* 2958       3389       0.183807       0.702663        11.5932
* 3026       3467       0.183807       0.235694        13.1751
* 3109       3560       0.183807       0.244795        12.2319
* 3189       3650       0.183807       0.513198        11.0193
  3200       3661       0.183807       0.501659         4.3782
* 3260       3731       0.183807       0.206085        26.6549
* 3329       3810       0.183807        0.77246        9.65074
* 3395       3886       0.183807       0.202198         13.074
* 3475       3976       0.183807       0.195018        10.8032
* 3553       4064       0.183807       0.215592        19.2022
  3600       4111       0.183807       0.198401        1.68166
* 3632       4153       0.183807       0.216421        11.8673
* 3705       4236       0.183807       0.250924         12.199
* 3774       4315       0.183807       0.215274        11.0946
* 3840       4391       0.183807       0.474056        14.2772
* 3911       4472       0.183807       0.209094        10.0544
* 3984       4555       0.183807       0.281891        10.7312
  4000       4571       0.183807        0.54743        3.45994
* 4059       4640       0.183807        0.19431        13.0018
* 4126       4717       0.183807       0.346163        14.7184
* 4199       4800       0.183807       0.344481        16.2462
* 4265       4876       0.183807       0.202031        11.0187
* 4329       4950       0.183807       0.497225        13.3197
  4400       5021       0.183807        0.19937        1.16637
* 4411       5042       0.183807       0.206605        10.3057
* 4482       5123       0.183807       0.229569        12.5465
* 4550       5201       0.183807        0.44488         12.564
* 4619       5280       0.183807       0.294899        16.9165
* 4687       5358       0.183807       0.434357        14.4085
* 4755       5436       0.183268       0.204179         15.588
  4800       5481       0.183268       0.944316        1.74821
* 4811       5502       0.183268       0.435905        14.3226
* 4883       5584       0.183268        0.22022        16.3562
* 4947       5658       0.183268        1.01483         10.656
* 5009       5730       0.183268       0.351455        15.1154
* 5073       5804       0.183268       0.719111        13.6218
* 5150       5891       0.183268       0.614491        9.77011
  5200       5941       0.183268       0.288345         1.5179
* 5219       5970       0.183268       0.448062        14.5907
* 5288       6049       0.183268       0.493544        14.1705
* 5355       6126       0.183268       0.850622         13.119
* 5426       6207       0.183268       0.363465         14.813
* 5489       6280       0.183268        1.18508        9.01225
* 5563       6364       0.183268       0.252436        12.5968
  5600       6401       0.183268       0.239835        2.00125
* 5628       6439       0.183268       0.294997        12.0947
* 5705       6526       0.183268       0.234156        12.7381
* 5782       6613       0.183268       0.201352        11.1969
* 5854       6695       0.183268       0.211056        15.1976
* 5928       6779       0.183268       0.452299        12.8624
* 5997       6858       0.183268        0.20992        10.6164
  6000       6861       0.183268       0.195732         7.4023
* 6075       6946       0.183268       0.856931         10.659
* 6135       7016       0.183268       0.234339        11.9713
* 6209       7100       0.183268       0.263153        10.2226
* 6272       7173       0.183268       0.743054        13.4108
* 6337       7248       0.183268       0.229279        12.3312
* 6399       7320       0.183268       0.193467        13.3635
  6400       7321       0.183268        0.23665        11.3771
* 6477       7408       0.183268       0.222841        14.8476
* 6538       7479       0.183268       0.195089        18.5863
* 6614       7565       0.183268        0.25455        14.3225
* 6682       7643       0.183268       0.326556        18.0499
* 6748       7719       0.183268       0.251285         11.159
  6800       7771       0.183268       0.273554        1.49928
* 6817       7798       0.183268       0.393054        15.0322
* 6886       7877       0.183268       0.230915        12.1332
* 6949       7950       0.183268       0.700704         12.982
* 7025       8036       0.183268       0.301476        14.7668
* 7090       8111       0.183268        1.13415        11.1407
* 7156       8187       0.183268       0.386459        14.9904
  7200       8231       0.183268       0.512258        1.72847
* 7224       8265       0.183268       0.208081        14.7009
* 7298       8349       0.182269       0.223374        11.4839
* 7364       8425       0.182269       0.201059        11.4358
* 7437       8508       0.182269       0.219797         11.869
* 7507       8588       0.182269       0.307211        21.6189
* 7575       8666       0.182269       0.264984        12.3107
  7600       8691       0.182269        0.21248        2.66068
* 7636       8737       0.182269        0.23603        13.5239
* 7707       8818       0.182269       0.271894         11.282
* 7785       8906       0.182269       0.211756        18.9306
* 7853       8984       0.182269        1.10096        11.8686
* 7923       9064       0.182269       0.217271        13.7474
* 8000       9151       0.182269       0.670452        10.1422
