Time (min),wt,mko,tko
0,0.085714,0.015232,0.05835
0.1,0.085723,0.015232,0.058358
0.2,0.085743,0.015233,0.058378
0.3,0.085772,0.015233,0.058407
0.4,0.085811,0.015234,0.058444
0.5,0.085859,0.015236,0.058492
0.6,0.085917,0.015238,0.058549
0.7,0.085985,0.015239,0.058617
0.8,0.086064,0.015241,0.058694
0.9,0.086152,0.015242,0.058781
1,0.086251,0.015244,0.058879
1.1,0.08636,0.015245,0.058986
1.2,0.086479,0.015247,0.059103
1.3,0.086608,0.015248,0.059229
1.4,0.086745,0.015251,0.059364
1.5,0.086891,0.015254,0.059508
1.6,0.087048,0.015257,0.059662
1.7,0.087214,0.015259,0.059825
1.8,0.08739,0.015262,0.059998
1.9,0.087575,0.015265,0.060181
2,0.08777,0.015268,0.060373
2.1,0.087976,0.01527,0.060574
2.2,0.08819,0.015273,0.060785
2.3,0.088415,0.015276,0.061004
2.4,0.088646,0.01528,0.061231
2.5,0.088887,0.015284,0.061467
2.6,0.089137,0.015288,0.061712
2.7,0.089397,0.015292,0.061967
2.8,0.089665,0.015296,0.06223
2.9,0.089943,0.0153,0.062502
3,0.09023,0.015304,0.062783
3.1,0.090527,0.015308,0.063074
3.2,0.090832,0.015312,0.063372
3.3,0.091147,0.015316,0.063678
3.4,0.091469,0.01532,0.063991
3.5,0.091799,0.015324,0.064314
3.6,0.092138,0.015329,0.064645
3.7,0.092486,0.015334,0.064984
3.8,0.092843,0.015338,0.065331
3.9,0.093208,0.015343,0.065688
4,0.093582,0.015348,0.066052
4.1,0.093965,0.015353,0.066425
4.2,0.094357,0.015358,0.066806
4.3,0.094758,0.015364,0.067194
4.4,0.095168,0.015369,0.06759
4.5,0.095587,0.015375,0.067994
4.6,0.096015,0.01538,0.068405
4.7,0.096451,0.015386,0.068825
4.8,0.096895,0.015392,0.069252
4.9,0.097348,0.015398,0.069686
5,0.097809,0.015404,0.070128
5.1,0.098278,0.01541,0.070578
5.2,0.098755,0.015416,0.071035
5.3,0.09924,0.015422,0.071499
5.4,0.099734,0.015429,0.071971
5.5,0.10024,0.015435,0.072449
5.6,0.10074,0.015442,0.072935
5.7,0.10126,0.015449,0.073429
5.8,0.10179,0.015456,0.073929
5.9,0.10232,0.015463,0.074436
6,0.10286,0.01547,0.074951
6.1,0.10341,0.015477,0.075472
6.2,0.10397,0.015484,0.076
6.3,0.10453,0.015492,0.076535
6.4,0.1051,0.015499,0.077077
6.5,0.10568,0.015507,0.077625
6.6,0.10627,0.015515,0.07818
6.7,0.10687,0.015523,0.078743
6.8,0.10747,0.015531,0.079312
6.9,0.10808,0.015539,0.079888
7,0.10869,0.015547,0.08047
7.1,0.10932,0.015555,0.081059
7.2,0.10995,0.015563,0.081654
7.3,0.11059,0.015572,0.082256
7.4,0.11124,0.01558,0.082864
7.5,0.11189,0.015589,0.083478
7.6,0.11255,0.015598,0.084099
7.7,0.11322,0.015607,0.084726
7.8,0.11389,0.015616,0.085358
7.9,0.11457,0.015625,0.085997
8,0.11526,0.015634,0.086642
8.1,0.11596,0.015643,0.087293
8.2,0.11666,0.015652,0.08795
8.3,0.11737,0.015661,0.088613
8.4,0.11809,0.015671,0.089281
8.5,0.11881,0.01568,0.089955
8.6,0.11954,0.01569,0.090635
8.7,0.12027,0.0157,0.091321
8.8,0.12102,0.015709,0.092012
8.9,0.12178,0.015719,0.092709
9,0.12255,0.015729,0.093411
9.1,0.12332,0.01574,0.094121
9.2,0.12411,0.01575,0.094836
9.3,0.1249,0.01576,0.095556
9.4,0.12569,0.01577,0.096282
9.5,0.12649,0.015781,0.097014
9.6,0.1273,0.015792,0.09775
9.7,0.12812,0.015802,0.098493
9.8,0.12895,0.015813,0.09924
9.9,0.12978,0.015824,0.099993
10,0.13062,0.015835,0.10075
10.1,0.13146,0.015846,0.10151
10.2,0.13231,0.015857,0.10228
10.3,0.13317,0.015869,0.10306
10.4,0.13404,0.01588,0.10383
10.5,0.13491,0.015892,0.10462
10.6,0.13579,0.015903,0.10541
10.7,0.13668,0.015915,0.1062
10.8,0.13757,0.015927,0.107
10.9,0.13847,0.015939,0.1078
11,0.13937,0.015951,0.10861
11.1,0.14029,0.015963,0.10942
11.2,0.14121,0.015975,0.11024
11.3,0.14213,0.015987,0.11106
11.4,0.14307,0.016,0.11189
11.5,0.14401,0.016012,0.11272
11.6,0.14495,0.016025,0.11356
11.7,0.1459,0.016037,0.1144
11.8,0.14686,0.01605,0.11525
11.9,0.14783,0.016063,0.1161
12,0.1488,0.016076,0.11696
12.1,0.14978,0.016089,0.11782
12.2,0.15076,0.016102,0.11868
12.3,0.15175,0.016115,0.11955
12.4,0.15275,0.016128,0.12043
12.5,0.15375,0.016142,0.1213
12.6,0.15476,0.016155,0.12219
12.7,0.15578,0.016169,0.12307
12.8,0.1568,0.016183,0.12397
12.9,0.15783,0.016196,0.12486
13,0.15886,0.01621,0.12576
13.1,0.1599,0.016224,0.12667
13.2,0.16095,0.016238,0.12757
13.3,0.16202,0.016252,0.12849
13.4,0.16311,0.016266,0.1294
13.5,0.1642,0.016281,0.13032
13.6,0.1653,0.016295,0.13125
