Time (min),wt,mko,tko
0,0.00016323,0.00015191,0.00016323
1,0.00016341,0.00015204,0.00016326
2,0.00016433,0.00015246,0.00016361
3,0.00016736,0.00015321,0.00016502
4,0.00017945,0.00015436,0.00017039
5,0.00022378,0.00015597,0.00018831
6,0.00037127,0.00015822,0.00024296
7,0.00075842,0.00016115,0.00039334
8,0.0016638,0.00016504,0.00072237
9,0.0034707,0.00017027,0.0013677
10,0.0064982,0.00017749,0.0025554
11,0.01129,0.00018821,0.0044574
12,0.018053,0.00020322,0.0072246
13,0.027121,0.00022404,0.011182
14,0.038256,0.00025597,0.0164
15,0.051646,0.00030332,0.022834
16,0.067028,0.00037454,0.030543
17,0.084012,0.00047915,0.039464
18,0.10247,0.0006302,0.049483
19,0.12194,0.00084912,0.06054
20,0.14221,0.0011501,0.072267
21,0.16305,0.0015551,0.084526
22,0.18427,0.0020878,0.097151
23,0.2057,0.0027742,0.10997
24,0.22722,0.0036528,0.12273
25,0.24871,0.0047905,0.13522
26,0.2701,0.0062214,0.14748
27,0.2914,0.0078564,0.15912
28,0.31257,0.0098436,0.17013
29,0.33362,0.012226,0.18066
30,0.35438,0.01487,0.19009
31,0.37445,0.017936,0.19881
32,0.39349,0.021362,0.20693
33,0.41138,0.025024,0.2137
34,0.42738,0.029052,0.21985
35,0.44236,0.033368,0.22527
36,0.45562,0.037823,0.22954
37,0.46739,0.042569,0.23327
38,0.47823,0.047376,0.23623
39,0.4872,0.052388,0.23834
40,0.49499,0.057412,0.24001
41,0.50186,0.062481,0.24098
42,0.5067,0.067523,0.24142
43,0.51064,0.072494,0.24154
44,0.51343,0.077362,0.24106
45,0.51496,0.082097,0.24032
46,0.51549,0.086621,0.23933
47,0.515,0.090996,0.23797
48,0.51322,0.095059,0.23649
49,0.5107,0.098973,0.23482
50,0.50725,0.10248,0.23301
51,0.50298,0.10586,0.23112
52,0.49795,0.10875,0.22914
53,0.49218,0.11155,0.22711
54,0.48568,0.11379,0.22505
55,0.47852,0.11598,0.22296
56,0.47094,0.11761,0.22085
57,0.46289,0.11916,0.21872
58,0.45424,0.12021,0.21658
59,0.44528,0.12117,0.21443
60,0.43605,0.12175,0.21223
61,0.42684,0.12226,0.21002
62,0.41791,0.12259,0.20776
63,0.40917,0.12288,0.20544
64,0.40101,0.1231,0.20309
65,0.39304,0.12329,0.20062
66,0.38541,0.12344,0.1981
67,0.37807,0.12354,0.19548
68,0.37086,0.12359,0.19274
69,0.36398,0.12358,0.18993
70,0.35723,0.12353,0.18695
71,0.35066,0.12341,0.18389
72,0.34432,0.12327,0.18071
73,0.33807,0.12306,0.17738
74,0.33206,0.12283,0.17398
75,0.32617,0.12253,0.17042
76,0.32041,0.12222,0.16679
77,0.31485,0.12183,0.16307
78,0.30938,0.12144,0.15924
79,0.30409,0.12096,0.15537
80,0.29893,0.12048,0.15141
81,0.29387,0.11992,0.14743
82,0.28901,0.11935,0.1434
83,0.28423,0.1187,0.13936
84,0.27964,0.11804,0.13531
85,0.27516,0.11731,0.13129
86,0.27081,0.11656,0.12727
87,0.26664,0.11575,0.12331
88,0.26253,0.11492,0.11939
89,0.25864,0.11403,0.11553
90,0.25484,0.11312,0.11178
91,0.2512,0.11215,0.10805
92,0.24763,0.11117,0.10448
93,0.24425,0.11014,0.10096
94,0.24092,0.10909,0.0976
95,0.23779,0.108,0.094292
96,0.2347,0.10689,0.091173
97,0.23181,0.10575,0.088108
98,0.22894,0.10459,0.085242
99,0.2263,0.10341,0.082434
100,0.22365,0.10222,0.079829
101,0.22122,0.101,0.077285
102,0.2188,0.099777,0.074946
103,0.21656,0.098542,0.072669
104,0.21434,0.097298,0.070594
105,0.21228,0.09605,0.068583
106,0.21025,0.0948,0.066768
107,0.20835,0.093548,0.065016
108,0.20649,0.092301,0.063453
109,0.20473,0.091056,0.061953
110,0.20303,0.089821,0.060634
111,0.2014,0.088589,0.059378
112,0.19984,0.087375,0.058295
113,0.19833,0.086164,0.057273
114,0.19689,0.084978,0.056418
115,0.19549,0.083795,0.05562
116,0.19415,0.082644,0.054981
117,0.19285,0.081495,0.054398
118,0.19162,0.080382,0.053968
119,0.19041,0.079274,0.053594
120,0.18925,0.078193,0.0533
