Time (min),wt,mko,tko
0,2.86E-05,0.00011165,4.28E-05
1,2.90E-05,0.00011187,4.33E-05
2,3.13E-05,0.00011274,4.55E-05
3,4.06E-05,0.0001144,5.28E-05
4,8.27E-05,0.00011698,7.96E-05
5,0.00022789,0.00012061,0.00016318
6,0.00064547,0.00012586,0.00038953
7,0.001576,0.00013291,0.00092263
8,0.0033727,0.00014278,0.0019255
9,0.0063033,0.00015685,0.0036135
10,0.010375,0.00017724,0.0062316
11,0.01562,0.00020869,0.0098066
12,0.021679,0.00025308,0.014287
13,0.028239,0.00031498,0.019682
14,0.034891,0.00041055,0.025729
15,0.041308,0.00055068,0.032164
16,0.047218,0.00074409,0.038784
17,0.052502,0.0010035,0.045363
18,0.056993,0.0013544,0.051702
19,0.060775,0.0018501,0.057577
20,0.063837,0.0024852,0.062944
21,0.066228,0.003279,0.067726
22,0.068012,0.0042504,0.071871
23,0.069261,0.0054949,0.075286
24,0.070041,0.0069999,0.077885
25,0.070333,0.0087227,0.079746
26,0.070417,0.010689,0.081156
27,0.070271,0.013029,0.081723
28,0.069863,0.015597,0.081725
29,0.069315,0.018385,0.08132
30,0.068659,0.021466,0.0802
31,0.067925,0.024775,0.07873
32,0.067136,0.028204,0.076964
33,0.066313,0.031825,0.074698
34,0.065481,0.035525,0.072267
35,0.064654,0.039275,0.069638
36,0.063837,0.04304,0.066804
37,0.063049,0.04676,0.063911
38,0.062281,0.050433,0.06095
39,0.061542,0.05393,0.057987
40,0.06084,0.057298,0.055044
41,0.060168,0.060465,0.052164
42,0.059526,0.063484,0.049382
43,0.058912,0.06626,0.046665
44,0.058325,0.068723,0.044123
45,0.057766,0.071013,0.041689
46,0.057229,0.073008,0.039361
47,0.056709,0.074727,0.037236
48,0.056205,0.076275,0.035202
49,0.055712,0.077498,0.033307
50,0.05523,0.078519,0.031564
51,0.054754,0.079387,0.029898
52,0.05428,0.079951,0.028375
53,0.053806,0.080389,0.026934
54,0.053328,0.080682,0.025575
55,0.052843,0.080758,0.024289
56,0.052349,0.080774,0.023082
57,0.051845,0.080624,0.021909
58,0.05133,0.080401,0.020786
59,0.050801,0.080094,0.019694
60,0.05026,0.079699,0.018623
61,0.049704,0.079272,0.017571
62,0.049141,0.078765,0.016528
63,0.04856,0.07824,0.015493
64,0.047974,0.077677,0.014463
65,0.047378,0.077092,0.01344
66,0.046775,0.076492,0.012425
67,0.046169,0.075879,0.011424
68,0.04556,0.075258,0.010437
69,0.044953,0.074631,0.0094655
70,0.044346,0.074002,0.0085327
71,0.043747,0.07337,0.0076206
72,0.043153,0.072738,0.0067579
73,0.04257,0.072105,0.0059426
74,0.041997,0.071473,0.0051602
75,0.041434,0.070839,0.004468
76,0.040892,0.070205,0.0038132
77,0.040358,0.069566,0.0032277
78,0.039845,0.068928,0.002715
79,0.039349,0.068283,0.0022405
80,0.038865,0.067637,0.0018603
81,0.038409,0.066982,0.0015188
82,0.037962,0.066325,0.0012289
83,0.037539,0.065659,0.0010001
84,0.037132,0.064989,0.00079703
85,0.036739,0.064309,0.00064514
86,0.03637,0.063626,0.0005178
87,0.03601,0.062934,0.0004121
88,0.035673,0.062237,0.00033643
89,0.035349,0.061534,0.00027034
90,0.035039,0.060826,0.00022131
91,0.034741,0.060114,0.0001823
92,0.034459,0.059398,0.00014931
93,0.034186,0.05868,0.00012596
94,0.033928,0.05796,0.00010727
95,0.033677,0.05724,9.24E-05
96,0.033441,0.056521,8.08E-05
97,0.033209,0.055803,7.19E-05
98,0.03299,0.055089,6.52E-05
99,0.032775,0.054377,6.02E-05
100,0.032573,0.053673,5.59E-05
101,0.032372,0.052972,5.25E-05
102,0.032183,0.052281,5.00E-05
103,0.031995,0.051595,4.79E-05
104,0.031816,0.050921,4.65E-05
105,0.03164,0.050253,4.53E-05
106,0.031469,0.0496,4.45E-05
107,0.031304,0.048957,4.38E-05
108,0.031141,0.048322,4.34E-05
109,0.030982,0.047706,4.30E-05
110,0.030826,0.047098,4.28E-05
111,0.030673,0.046504,4.26E-05
112,0.030524,0.045927,4.26E-05
113,0.030376,0.045357,4.26E-05
114,0.030231,0.044809,4.27E-05
115,0.030087,0.04427,4.28E-05
116,0.029945,0.043745,4.29E-05
117,0.029805,0.043238,4.31E-05
118,0.029666,0.042738,4.33E-05
119,0.029529,0.04226,4.36E-05
120,0.029392,0.041788,4.38E-05
