Time (min),wt,mko,tko
0,0.0023646,0.0099314,0.00088736
0.1,0.0023971,0.0098634,0.00090157
0.2,0.0024911,0.0097988,0.000945
0.3,0.0026601,0.0097377,0.0010273
0.4,0.0029153,0.0096806,0.001157
0.5,0.0032675,0.0096271,0.0013424
0.6,0.0037268,0.0095773,0.0015918
0.7,0.0043029,0.0095312,0.0019129
0.8,0.0050049,0.009489,0.0023132
0.9,0.0058412,0.0094519,0.0028
1,0.0068199,0.0094189,0.0033803
1.1,0.0079488,0.0093902,0.0040609
1.2,0.0092348,0.0093657,0.0048483
1.3,0.010685,0.0093457,0.0057487
1.4,0.012305,0.0093313,0.0067681
1.5,0.014101,0.0093217,0.0079124
1.6,0.016078,0.0093169,0.0091871
1.7,0.018241,0.0093168,0.010598
1.8,0.020595,0.009322,0.012149
1.9,0.023145,0.0093331,0.013846
2,0.025892,0.0093495,0.015693
2.1,0.028843,0.0093713,0.017695
2.2,0.031998,0.0093983,0.019856
2.3,0.035361,0.0094309,0.022179
2.4,0.038935,0.0094695,0.02467
2.5,0.042721,0.009514,0.02733
2.6,0.046721,0.0095645,0.030163
2.7,0.050935,0.009621,0.033173
2.8,0.055366,0.0096837,0.036363
2.9,0.060014,0.0097527,0.039735
3,0.064879,0.0098281,0.043292
3.1,0.069962,0.00991,0.047035
3.2,0.075261,0.0099985,0.050967
3.3,0.080777,0.010094,0.055089
3.4,0.08651,0.010196,0.059404
3.5,0.092457,0.010304,0.063912
3.6,0.098617,0.010419,0.068614
3.7,0.10499,0.010541,0.073513
3.8,0.11157,0.010671,0.078611
3.9,0.11836,0.010807,0.083907
4,0.12536,0.010951,0.089401
4.1,0.13257,0.011102,0.095094
4.2,0.13997,0.011261,0.10098
4.3,0.14758,0.011427,0.10707
4.4,0.15538,0.0116,0.11336
4.5,0.16337,0.011782,0.11985
4.6,0.17155,0.011971,0.12653
4.7,0.17992,0.012167,0.13342
4.8,0.18847,0.012372,0.1405
4.9,0.19721,0.012584,0.14778
5,0.20612,0.012804,0.15525
5.1,0.2152,0.013033,0.16292
5.2,0.22445,0.013269,0.17077
5.3,0.23386,0.013514,0.17882
5.4,0.24344,0.013768,0.18706
5.5,0.25317,0.014029,0.19549
5.6,0.26305,0.014299,0.2041
5.7,0.27308,0.014578,0.21291
5.8,0.28326,0.014865,0.22189
5.9,0.29357,0.015161,0.23106
6,0.30402,0.015465,0.24041
6.1,0.3146,0.015778,0.24993
6.2,0.3253,0.0161,0.25963
6.3,0.33613,0.01643,0.26949
6.4,0.34707,0.01677,0.27953
6.5,0.35813,0.017119,0.28973
6.6,0.3693,0.017477,0.30011
6.7,0.38057,0.017844,0.31064
6.8,0.39193,0.01822,0.32134
6.9,0.4034,0.018606,0.33219
7,0.41495,0.019001,0.3432
7.1,0.42659,0.019405,0.35435
7.2,0.43831,0.019818,0.36566
7.3,0.45011,0.020241,0.3771
7.4,0.46198,0.020673,0.3887
7.5,0.47392,0.021116,0.40043
7.6,0.48593,0.021567,0.4123
7.7,0.498,0.022029,0.42431
7.8,0.51012,0.0225,0.43644
7.9,0.52229,0.022981,0.4487
8,0.53451,0.023472,0.46109
8.1,0.54678,0.023973,0.4736
8.2,0.55908,0.024484,0.48622
8.3,0.57143,0.025005,0.49895
8.4,0.5838,0.025536,0.5118
8.5,0.59621,0.026077,0.52476
8.6,0.60864,0.026628,0.53782
8.7,0.62109,0.02719,0.55098
8.8,0.63355,0.027761,0.56424
8.9,0.64603,0.028343,0.5776
9,0.65853,0.028936,0.59104
9.1,0.67103,0.029539,0.60458
9.2,0.68353,0.030152,0.6182
9.3,0.69604,0.030775,0.63191
9.4,0.70855,0.031409,0.64569
9.5,0.72104,0.032054,0.65955
9.6,0.73353,0.032709,0.67349
9.7,0.74601,0.033375,0.68749
9.8,0.75847,0.034052,0.70157
9.9,0.77092,0.034739,0.7157
10,0.78334,0.035437,0.72989
10.1,0.79575,0.036146,0.74414
10.2,0.80813,0.036866,0.75844
10.3,0.82048,0.037597,0.7728
10.4,0.8328,0.038339,0.7872
10.5,0.8451,0.039092,0.80165
10.6,0.85736,0.039855,0.81614
10.7,0.86959,0.04063,0.83067
10.8,0.88178,0.041416,0.84523
10.9,0.89393,0.042213,0.85984
11,0.90603,0.043021,0.87447
11.1,0.91808,0.04384,0.88914
11.2,0.93009,0.044671,0.90383
11.3,0.94205,0.045512,0.91855
11.4,0.95397,0.046365,0.9333
11.5,0.96583,0.047229,0.94806
11.6,0.97764,0.048105,0.96282
11.7,0.9894,0.048992,0.9776
11.8,1.0011,0.04989,0.99239
11.9,1.0128,0.0508,1.0072
12,1.0243,0.051721,1.022
12.1,1.0359,0.052654,1.0368
12.2,1.0474,0.053599,1.0516
12.3,1.0588,0.054554,1.0664
12.4,1.0701,0.055522,1.0812
12.5,1.0814,0.056501,1.096
12.6,1.0926,0.057492,1.1108
12.7,1.1038,0.058495,1.1256
12.8,1.1149,0.059509,1.1404
12.9,1.1259,0.060535,1.1552
13,1.1368,0.061572,1.1699
13.1,1.1477,0.062622,1.1847
13.2,1.1585,0.063683,1.1994
13.3,1.1693,0.064756,1.2141
13.4,1.18,0.065841,1.2287
13.5,1.1906,0.066938,1.2434
13.6,1.2011,0.068046,1.258
13.7,1.2116,0.069167,1.2726
13.8,1.222,0.0703,1.2871
13.9,1.2323,0.071444,1.3017
14,1.2425,0.0726,1.3162
14.1,1.2527,0.073769,1.3306
14.2,1.2628,0.074966,1.345
14.3,1.2728,0.076179,1.3594
14.4,1.2828,0.077411,1.3738
14.5,1.2927,0.07866,1.3881
14.6,1.3025,0.079928,1.4024
14.7,1.3122,0.081215,1.4166
14.8,1.3218,0.082522,1.4307
14.9,1.3314,0.08385,1.4447
15,1.3409,0.0852,1.4585
15.1,1.3501,0.086572,1.4722
15.2,1.3592,0.087967,1.4857
15.3,1.368,0.089387,1.499
15.4,1.3766,0.090837,1.5121
15.5,1.3847,0.092336,1.525
15.6,1.3928,0.093872,1.5376
15.7,1.4005,0.095448,1.5498
15.8,1.408,0.097065,1.5618
15.9,1.4152,0.098726,1.5734
16,1.4221,0.10044,1.5848
16.1,1.4288,0.1022,1.5959
16.2,1.4352,0.10401,1.6067
16.3,1.4413,0.10588,1.6173
16.4,1.4473,0.10779,1.6276
16.5,1.4531,0.10974,1.6376
16.6,1.4587,0.11174,1.6473
16.7,1.4641,0.11379,1.6568
16.8,1.4693,0.11589,1.6661
16.9,1.4745,0.11805,1.6752
17,1.4795,0.12027,1.6842
17.1,1.4844,0.12255,1.6929
17.2,1.4891,0.12488,1.7014
17.3,1.4937,0.12728,1.7098
17.4,1.4983,0.12973,1.718
17.5,1.5027,0.13222,1.7261
17.6,1.507,0.13476,1.734
17.7,1.5112,0.13736,1.7418
17.8,1.5153,0.14002,1.7494
17.9,1.5193,0.14274,1.7569
18,1.5232,0.14551,1.7643
18.1,1.527,0.14834,1.7714
18.2,1.5306,0.15123,1.7785
18.3,1.5342,0.15418,1.7854
18.4,1.5377,0.15719,1.7922
