Time (min),wt,mko,tko
0,0.011715,0.011715,0.0054942
0.1,0.011716,0.011715,0.0054943
0.2,0.011717,0.011715,0.0054948
0.3,0.01172,0.011715,0.0054957
0.4,0.011724,0.011716,0.0054975
0.5,0.011731,0.011716,0.0055001
0.6,0.011741,0.011717,0.0055041
0.7,0.011754,0.011717,0.0055094
0.8,0.011771,0.011718,0.0055165
0.9,0.011792,0.011719,0.005526
1,0.011821,0.01172,0.0055382
1.1,0.011854,0.011721,0.0055525
1.2,0.011893,0.011722,0.005569
1.3,0.011936,0.011724,0.0055883
1.4,0.011988,0.011726,0.0056116
1.5,0.012048,0.011728,0.005638
1.6,0.012114,0.011731,0.0056674
1.7,0.012187,0.011733,0.0056999
1.8,0.012269,0.011736,0.0057377
1.9,0.012361,0.01174,0.0057795
2,0.012461,0.011744,0.0058253
2.1,0.012571,0.011748,0.005875
2.2,0.012688,0.011752,0.0059301
2.3,0.012819,0.011757,0.0059906
2.4,0.01296,0.011763,0.006056
2.5,0.013111,0.011768,0.0061261
2.6,0.013272,0.011774,0.0062015
2.7,0.013445,0.011781,0.006283
2.8,0.01363,0.011789,0.0063703
2.9,0.013827,0.011796,0.0064637
3,0.014037,0.011805,0.0065633
3.1,0.014259,0.011814,0.0066693
3.2,0.014495,0.011823,0.006782
3.3,0.014744,0.011833,0.0069014
3.4,0.015006,0.011843,0.0070279
3.5,0.015283,0.011854,0.0071611
3.6,0.015573,0.011866,0.0073015
3.7,0.015877,0.011878,0.0074494
3.8,0.016197,0.011891,0.0076047
3.9,0.016531,0.011905,0.0077679
4,0.01688,0.011919,0.0079389
4.1,0.017245,0.011934,0.0081181
4.2,0.017625,0.011949,0.0083055
4.3,0.018022,0.011966,0.0085012
4.4,0.018435,0.011983,0.0087049
4.5,0.018863,0.012001,0.0089172
4.6,0.019307,0.01202,0.0091382
4.7,0.019768,0.012039,0.009368
4.8,0.020246,0.012059,0.0096068
4.9,0.020741,0.012081,0.0098548
5,0.021253,0.012102,0.010112
5.1,0.021783,0.012125,0.010379
5.2,0.022331,0.012149,0.010655
5.3,0.022895,0.012173,0.01094
5.4,0.023477,0.012198,0.011235
5.5,0.024077,0.012224,0.011539
5.6,0.024695,0.012251,0.011853
5.7,0.025332,0.012279,0.012178
5.8,0.025987,0.012308,0.012512
5.9,0.02666,0.012338,0.012857
6,0.027353,0.012369,0.013212
6.1,0.028063,0.012401,0.013577
6.2,0.028793,0.012434,0.013952
6.3,0.029541,0.012467,0.014338
6.4,0.030308,0.012502,0.014735
6.5,0.031094,0.012538,0.015142
6.6,0.0319,0.012575,0.01556
6.7,0.032725,0.012613,0.015988
6.8,0.03357,0.012652,0.016428
6.9,0.034435,0.012691,0.016878
7,0.035318,0.012732,0.017339
7.1,0.03622,0.012775,0.017811
7.2,0.037143,0.012818,0.018294
7.3,0.038085,0.012862,0.018789
7.4,0.039047,0.012907,0.019294
7.5,0.04003,0.012954,0.019811
7.6,0.041032,0.013002,0.02034
7.7,0.042055,0.013051,0.02088
7.8,0.043099,0.013101,0.021432
7.9,0.044163,0.013152,0.021995
8,0.045248,0.013204,0.02257
8.1,0.046354,0.013258,0.023158
8.2,0.04748,0.013313,0.023756
8.3,0.048627,0.013369,0.024366
8.4,0.049793,0.013426,0.024987
8.5,0.050981,0.013484,0.025621
8.6,0.052189,0.013544,0.026266
8.7,0.053418,0.013605,0.026923
8.8,0.054668,0.013667,0.027593
8.9,0.055939,0.01373,0.028274
9,0.057232,0.013795,0.028968
9.1,0.058546,0.013861,0.029674
9.2,0.059881,0.013928,0.030392
9.3,0.061237,0.013997,0.031123
9.4,0.062615,0.014067,0.031866
9.5,0.064015,0.014138,0.032621
9.6,0.065437,0.014211,0.033388
9.7,0.066878,0.014285,0.034167
9.8,0.068341,0.01436,0.034958
9.9,0.069825,0.014437,0.035762
10,0.071331,0.014515,0.036578
10.1,0.072858,0.014594,0.037406
10.2,0.074407,0.014675,0.038247
10.3,0.075978,0.014757,0.039101
10.4,0.077571,0.014841,0.039967
10.5,0.079185,0.014926,0.040846
10.6,0.080822,0.015012,0.041737
10.7,0.08248,0.0151,0.042641
10.8,0.08416,0.015189,0.043557
10.9,0.085862,0.01528,0.044486
11,0.087586,0.015372,0.045426
11.1,0.089331,0.015466,0.04638
11.2,0.091099,0.015561,0.047346
11.3,0.092888,0.015658,0.048324
11.4,0.094699,0.015756,0.049315
11.5,0.096532,0.015856,0.050319
11.6,0.098387,0.015957,0.051335
11.7,0.10026,0.016059,0.052364
11.8,0.10216,0.016163,0.053405
11.9,0.10409,0.016269,0.05446
12,0.10603,0.016376,0.055527
12.1,0.108,0.016485,0.056607
12.2,0.10998,0.016595,0.057698
12.3,0.11199,0.016707,0.058802
12.4,0.11403,0.01682,0.059919
12.5,0.11608,0.016935,0.061048
12.6,0.11816,0.017052,0.06219
