Time (min),wt,mko,tko
0,0.0094447,0.032298,0.0078527
0.1,0.0094869,0.032222,0.0078856
0.2,0.0095872,0.032155,0.007965
0.3,0.0097486,0.032095,0.0080927
0.4,0.0099716,0.032043,0.0082705
0.5,0.010256,0.032,0.0084984
0.6,0.010602,0.031964,0.0087778
0.7,0.01101,0.031936,0.0091082
0.8,0.011477,0.031917,0.00949
0.9,0.012005,0.031906,0.0099226
1,0.012588,0.031902,0.010406
1.1,0.013229,0.031907,0.01094
1.2,0.013929,0.03192,0.011526
1.3,0.014688,0.031941,0.012161
1.4,0.015499,0.031971,0.012846
1.5,0.016364,0.032008,0.013581
1.6,0.017284,0.032053,0.014366
1.7,0.01826,0.032107,0.015201
1.8,0.019288,0.032168,0.016083
1.9,0.020363,0.032237,0.017013
2,0.021491,0.032315,0.017993
2.1,0.02267,0.0324,0.019021
2.2,0.023901,0.032493,0.020096
2.3,0.025174,0.032594,0.021217
2.4,0.026495,0.032703,0.022385
2.5,0.027865,0.03282,0.023601
2.6,0.029282,0.032945,0.024863
2.7,0.030744,0.033077,0.026169
2.8,0.03225,0.033216,0.027521
2.9,0.033799,0.033364,0.028917
3,0.035391,0.033519,0.030359
3.1,0.037025,0.033682,0.031844
3.2,0.0387,0.033853,0.033373
3.3,0.040415,0.034032,0.034946
3.4,0.042171,0.034218,0.036562
3.5,0.043965,0.034411,0.03822
3.6,0.045799,0.034611,0.03992
3.7,0.04767,0.03482,0.041662
3.8,0.049578,0.035035,0.043446
3.9,0.051523,0.035258,0.04527
4,0.053503,0.035488,0.047136
4.1,0.055518,0.035726,0.049041
4.2,0.057567,0.03597,0.050986
4.3,0.05965,0.036223,0.052971
4.4,0.061766,0.036482,0.054995
4.5,0.063915,0.036748,0.057058
4.6,0.066097,0.037022,0.059159
4.7,0.06831,0.037303,0.061298
4.8,0.070553,0.037591,0.063475
4.9,0.072826,0.037886,0.065689
5,0.075129,0.038188,0.067939
5.1,0.07746,0.038497,0.070226
5.2,0.07982,0.038813,0.07255
5.3,0.082209,0.039135,0.074909
5.4,0.084626,0.039465,0.077304
5.5,0.08707,0.039801,0.079734
5.6,0.089541,0.040145,0.082199
5.7,0.092037,0.040495,0.084698
5.8,0.094559,0.040852,0.087231
5.9,0.097106,0.041215,0.089797
6,0.099676,0.041585,0.092397
6.1,0.10227,0.041962,0.09503
6.2,0.10489,0.042345,0.097697
6.3,0.10754,0.042735,0.1004
6.4,0.1102,0.043132,0.10313
6.5,0.11289,0.043535,0.10589
6.6,0.1156,0.043945,0.10868
6.7,0.11834,0.044361,0.11151
6.8,0.12109,0.044783,0.11436
6.9,0.12386,0.045212,0.11725
7,0.12666,0.045647,0.12017
7.1,0.12948,0.046088,0.12311
7.2,0.13232,0.046536,0.12609
7.3,0.13518,0.04699,0.12909
7.4,0.13806,0.04745,0.13213
7.5,0.14095,0.047916,0.13519
7.6,0.14387,0.048389,0.13828
7.7,0.1468,0.048867,0.1414
7.8,0.14975,0.049352,0.14455
7.9,0.15271,0.049843,0.14773
8,0.1557,0.05034,0.15093
8.1,0.1587,0.050842,0.15416
8.2,0.16171,0.051351,0.15741
8.3,0.16475,0.051866,0.1607
8.4,0.1678,0.052386,0.16401
8.5,0.17086,0.052913,0.16734
8.6,0.17395,0.053445,0.1707
8.7,0.17704,0.053983,0.17409
8.8,0.18016,0.054527,0.1775
8.9,0.18328,0.055077,0.18094
9,0.18642,0.055632,0.1844
9.1,0.18958,0.056193,0.18788
9.2,0.19275,0.05676,0.19139
9.3,0.19593,0.057332,0.19492
9.4,0.19912,0.05791,0.19848
9.5,0.20233,0.058493,0.20205
9.6,0.20554,0.059082,0.20566
9.7,0.20878,0.059677,0.20928
9.8,0.21203,0.060277,0.21293
9.9,0.21529,0.060882,0.2166
10,0.21856,0.061493,0.2203
10.1,0.22184,0.06211,0.22401
10.2,0.22513,0.062732,0.22775
10.3,0.22844,0.063359,0.23151
10.4,0.23176,0.063991,0.23528
10.5,0.23508,0.064629,0.23908
10.6,0.23842,0.065272,0.2429
10.7,0.24177,0.06592,0.24674
10.8,0.24512,0.066574,0.25061
10.9,0.24849,0.067232,0.25449
11,0.25187,0.067896,0.25839
11.1,0.25526,0.068565,0.26231
11.2,0.25866,0.069239,0.26625
11.3,0.26207,0.069918,0.27022
11.4,0.26548,0.070602,0.2742
11.5,0.26891,0.071292,0.27819
11.6,0.27235,0.071986,0.28221
11.7,0.27579,0.072686,0.28625
11.8,0.27925,0.07339,0.2903
11.9,0.28271,0.0741,0.29437
12,0.28618,0.074814,0.29846
12.1,0.28966,0.075533,0.30257
12.2,0.29314,0.076257,0.3067
12.3,0.29664,0.076986,0.31084
12.4,0.30014,0.07772,0.315
12.5,0.30365,0.078458,0.31918
12.6,0.30717,0.079201,0.32338
12.7,0.3107,0.079949,0.32759
