Time (min),wt,mko,tko
0,0.0082882,0.0082882,0.0030044
0.1,0.0082882,0.0082882,0.0030044
0.2,0.0082882,0.0082882,0.0030044
0.3,0.0082882,0.0082882,0.0030044
0.4,0.0082882,0.0082882,0.0030044
0.5,0.0082883,0.0082882,0.0030044
0.6,0.0082884,0.0082882,0.0030045
0.7,0.0082886,0.0082882,0.0030045
0.8,0.0082888,0.0082882,0.0030046
0.9,0.0082891,0.0082882,0.0030047
1,0.0082897,0.0082883,0.0030049
1.1,0.0082904,0.0082883,0.0030051
1.2,0.0082912,0.0082883,0.0030054
1.3,0.0082922,0.0082884,0.0030057
1.4,0.0082935,0.0082885,0.0030061
1.5,0.0082951,0.0082885,0.0030067
1.6,0.008297,0.0082886,0.0030073
1.7,0.0082991,0.0082887,0.003008
1.8,0.0083016,0.0082888,0.0030089
1.9,0.0083047,0.0082889,0.0030099
2,0.0083081,0.0082891,0.0030111
2.1,0.008312,0.0082892,0.0030124
2.2,0.0083163,0.0082894,0.0030139
2.3,0.0083214,0.0082896,0.0030157
2.4,0.0083272,0.0082898,0.0030177
2.5,0.0083335,0.0082901,0.0030199
2.6,0.0083404,0.0082903,0.0030223
2.7,0.0083482,0.0082907,0.0030251
2.8,0.0083569,0.008291,0.0030282
2.9,0.0083665,0.0082914,0.0030316
3,0.008377,0.0082918,0.0030353
3.1,0.0083884,0.0082923,0.0030394
3.2,0.0084009,0.0082928,0.0030439
3.3,0.0084144,0.0082933,0.0030488
3.4,0.008429,0.0082939,0.003054
3.5,0.0084448,0.0082945,0.0030598
3.6,0.0084621,0.0082952,0.003066
3.7,0.0084807,0.008296,0.0030728
3.8,0.0085006,0.0082968,0.0030801
3.9,0.008522,0.0082977,0.0030879
4,0.0085449,0.0082986,0.0030963
4.1,0.0085693,0.0082997,0.0031052
4.2,0.0085953,0.0083007,0.0031148
4.3,0.008623,0.0083019,0.003125
4.4,0.0086526,0.0083031,0.003136
4.5,0.008684,0.0083044,0.0031476
4.6,0.0087174,0.0083057,0.00316
4.7,0.0087527,0.0083071,0.0031732
4.8,0.0087901,0.0083087,0.0031871
4.9,0.0088296,0.0083102,0.0032019
5,0.0088712,0.0083119,0.0032175
5.1,0.008915,0.0083138,0.0032339
5.2,0.0089612,0.0083157,0.0032513
5.3,0.0090098,0.0083178,0.0032697
5.4,0.0090609,0.0083199,0.003289
5.5,0.0091145,0.0083222,0.0033093
5.6,0.0091708,0.0083245,0.0033306
5.7,0.0092297,0.008327,0.003353
5.8,0.0092913,0.0083296,0.0033765
5.9,0.0093557,0.0083323,0.0034011
6,0.009423,0.0083352,0.0034268
6.1,0.0094933,0.0083381,0.0034537
6.2,0.0095667,0.0083412,0.0034819
6.3,0.0096431,0.0083445,0.0035112
6.4,0.0097227,0.0083478,0.0035419
6.5,0.0098056,0.0083513,0.0035739
6.6,0.0098918,0.008355,0.0036072
6.7,0.0099813,0.0083589,0.0036418
6.8,0.010074,0.0083629,0.0036779
6.9,0.010171,0.0083671,0.0037154
7,0.010271,0.0083715,0.0037544
7.1,0.010375,0.008376,0.0037948
7.2,0.010482,0.0083807,0.0038368
7.3,0.010594,0.0083856,0.0038804
7.4,0.010709,0.0083906,0.0039255
7.5,0.010828,0.0083959,0.0039723
7.6,0.010952,0.0084013,0.0040207
7.7,0.011079,0.008407,0.0040708
7.8,0.011211,0.0084128,0.0041226
7.9,0.011346,0.0084188,0.0041761
8,0.011486,0.0084251,0.0042315
8.1,0.011631,0.0084315,0.0042886
8.2,0.01178,0.0084382,0.0043476
8.3,0.011933,0.0084451,0.0044084
8.4,0.012091,0.0084522,0.0044712
8.5,0.012254,0.0084596,0.0045359
8.6,0.012421,0.0084672,0.0046026
8.7,0.012593,0.0084751,0.0046712
8.8,0.012771,0.0084832,0.0047419
8.9,0.012953,0.0084916,0.0048147
9,0.01314,0.0085002,0.0048895
9.1,0.013332,0.008509,0.0049665
9.2,0.013529,0.0085182,0.0050456
9.3,0.013731,0.0085276,0.0051269
9.4,0.013939,0.0085372,0.0052105
9.5,0.014152,0.0085472,0.0052963
9.6,0.014371,0.0085574,0.0053843
9.7,0.014595,0.0085679,0.0054747
9.8,0.014824,0.0085787,0.0055674
9.9,0.015059,0.0085898,0.0056624
10,0.0153,0.0086012,0.0057599
10.1,0.015547,0.0086129,0.0058598
10.2,0.015799,0.008625,0.0059622
10.3,0.016057,0.0086373,0.006067
10.4,0.016321,0.00865,0.0061744
10.5,0.016591,0.0086629,0.0062844
10.6,0.016868,0.0086763,0.0063969
10.7,0.01715,0.0086899,0.0065121
10.8,0.017439,0.0087039,0.0066299
10.9,0.017734,0.0087182,0.0067503
11,0.018035,0.0087329,0.0068734
11.1,0.018343,0.0087479,0.0069993
11.2,0.018657,0.0087633,0.0071278
11.3,0.018977,0.008779,0.0072592
11.4,0.019304,0.0087952,0.0073934
11.5,0.019638,0.0088117,0.0075305
11.6,0.019979,0.0088286,0.0076704
11.7,0.020326,0.0088458,0.0078132
11.8,0.02068,0.0088635,0.007959
11.9,0.021041,0.0088816,0.0081077
12,0.021409,0.0089,0.0082594
12.1,0.021784,0.0089189,0.0084141
12.2,0.022166,0.0089381,0.0085718
12.3,0.022556,0.0089578,0.0087325
12.4,0.022952,0.0089779,0.0088963
12.5,0.023355,0.0089984,0.0090633
12.6,0.023766,0.0090193,0.0092333
12.7,0.024185,0.0090407,0.0094065
12.8,0.02461,0.0090624,0.009583
12.9,0.025043,0.0090847,0.0097626
13,0.025484,0.0091073,0.0099455
13.1,0.025932,0.0091305,0.010132
13.2,0.026388,0.009154,0.010321
13.3,0.026852,0.0091781,0.010514
13.4,0.027324,0.0092025,0.01071
13.5,0.027803,0.0092275,0.010909
13.6,0.02829,0.0092529,0.011112
13.7,0.028786,0.0092788,0.011317
13.8,0.029288,0.0093052,0.011526
13.9,0.029799,0.0093321,0.011739
14,0.030318,0.0093594,0.011955
14.1,0.030845,0.0093873,0.012174
14.2,0.03138,0.0094156,0.012397
14.3,0.031923,0.0094445,0.012624
14.4,0.032475,0.0094738,0.012854
14.5,0.033035,0.0095037,0.013087
14.6,0.033603,0.0095341,0.013325
14.7,0.03418,0.0095651,0.013565
14.8,0.034766,0.0095965,0.01381
14.9,0.035359,0.0096285,0.014058
15,0.035962,0.0096611,0.01431
15.1,0.036573,0.0096942,0.014565
15.2,0.037193,0.0097279,0.014825
15.3,0.037822,0.0097621,0.015088
15.4,0.03846,0.0097969,0.015354
15.5,0.039106,0.0098322,0.015625
15.6,0.039761,0.0098682,0.0159
15.7,0.040424,0.0099047,0.016178
15.8,0.041097,0.0099418,0.01646
15.9,0.041778,0.0099796,0.016745
16,0.042468,0.010018,0.017034
16.1,0.043167,0.010057,0.017327
16.2,0.043875,0.010096,0.017623
16.3,0.044593,0.010137,0.017923
16.4,0.045319,0.010177,0.018227
16.5,0.046055,0.010219,0.018535
16.6,0.046799,0.010261,0.018847
16.7,0.047553,0.010304,0.019163
16.8,0.048317,0.010347,0.019483
16.9,0.049089,0.010391,0.019806
17,0.049871,0.010436,0.020134
17.1,0.050661,0.010481,0.020465
17.2,0.05146,0.010527,0.020801
17.3,0.052268,0.010574,0.02114
