Time (min),wt,mko,tko
0,0.00046786,0.00046786,5.65E-05
0.1,0.00093571,0.00093571,0.00011306
0.2,0.0014036,0.0014036,0.00016959
0.3,0.0018714,0.0018714,0.00022612
0.4,0.0023392,0.0023393,0.00028265
0.5,0.0028071,0.0028071,0.00033918
0.6,0.0032749,0.003275,0.00039571
0.7,0.0037426,0.0037428,0.00045224
0.8,0.0042104,0.0042106,0.00050876
0.9,0.0046781,0.0046784,0.00056529
1,0.0051457,0.0051462,0.00062181
1.1,0.0056134,0.005614,0.00067833
1.2,0.0060809,0.0060818,0.00073485
1.3,0.0065484,0.0065496,0.00079136
1.4,0.0070159,0.0070173,0.00084787
1.5,0.0074832,0.0074851,0.00090437
1.6,0.0079505,0.0079528,0.00096088
1.7,0.0084176,0.0084205,0.0010174
1.8,0.0088847,0.0088881,0.0010739
1.9,0.0093516,0.0093558,0.0011303
2,0.0098184,0.0098234,0.0011868
2.1,0.010285,0.010291,0.0012433
2.2,0.010752,0.010758,0.0012998
2.3,0.011218,0.011226,0.0013562
2.4,0.011684,0.011693,0.0014127
2.5,0.01215,0.012161,0.0014691
2.6,0.012616,0.012628,0.0015255
2.7,0.013082,0.013096,0.0015819
2.8,0.013547,0.013563,0.0016383
2.9,0.014012,0.01403,0.0016947
3,0.014477,0.014497,0.0017511
3.1,0.014942,0.014964,0.0018075
3.2,0.015406,0.015431,0.0018638
3.3,0.01587,0.015898,0.0019202
3.4,0.016334,0.016365,0.0019765
3.5,0.016798,0.016832,0.0020328
3.6,0.017261,0.017299,0.0020891
3.7,0.017724,0.017765,0.0021453
3.8,0.018187,0.018232,0.0022016
3.9,0.018649,0.018698,0.0022578
4,0.019111,0.019164,0.002314
4.1,0.019572,0.019631,0.0023702
4.2,0.020033,0.020097,0.0024263
4.3,0.020494,0.020563,0.0024825
4.4,0.020955,0.021029,0.0025386
4.5,0.021414,0.021495,0.0025947
4.6,0.021874,0.02196,0.0026507
4.7,0.022333,0.022426,0.0027068
4.8,0.022792,0.022891,0.0027628
4.9,0.02325,0.023357,0.0028188
5,0.023707,0.023822,0.0028747
5.1,0.024164,0.024287,0.0029306
5.2,0.024621,0.024752,0.0029865
5.3,0.025077,0.025217,0.0030424
5.4,0.025533,0.025681,0.0030982
