Time (min),wt,mko,tko
0,0.0031683,0.002857,0.0001197
0.1,0.024074,0.0083642,0.021595
0.2,0.045151,0.013829,0.043464
0.3,0.0664,0.019252,0.065723
0.4,0.087823,0.024631,0.088375
0.5,0.10941,0.029968,0.11142
0.6,0.13116,0.035261,0.13485
0.7,0.15308,0.040512,0.15867
0.8,0.17517,0.04572,0.18286
0.9,0.19742,0.050891,0.20744
1,0.21985,0.056021,0.2324
1.1,0.24244,0.06111,0.25772
1.2,0.26521,0.066156,0.28342
1.3,0.28813,0.071162,0.3095
1.4,0.3112,0.076126,0.33594
1.5,0.33443,0.081048,0.36273
1.6,0.35782,0.085929,0.38989
1.7,0.38137,0.090768,0.41742
1.8,0.40508,0.095574,0.44531
1.9,0.42895,0.10034,0.47355
2,0.45298,0.10507,0.50214
2.1,0.47718,0.10976,0.53108
2.2,0.5015,0.11441,0.56036
2.3,0.52598,0.11902,0.59
2.4,0.5506,0.12359,0.61997
2.5,0.57538,0.12813,0.65028
2.6,0.60031,0.13262,0.68093
2.7,0.62539,0.13708,0.71192
2.8,0.65063,0.1415,0.74324
2.9,0.67602,0.14589,0.77488
3,0.70153,0.15025,0.80686
3.1,0.72718,0.15456,0.83915
3.2,0.75298,0.15884,0.87177
3.3,0.77892,0.16308,0.90471
3.4,0.805,0.16729,0.93798
3.5,0.83123,0.17146,0.97157
3.6,0.8576,0.17559,1.0055
3.7,0.88411,0.1797,1.0397
3.8,0.91077,0.18377,1.0742
3.9,0.93758,0.1878,1.109
4,0.96452,0.19181,1.1442
4.1,0.99159,0.19577,1.1796
4.2,1.0188,0.19971,1.2154
4.3,1.0461,0.2036,1.2514
4.4,1.0736,0.20747,1.2877
4.5,1.1012,0.21129,1.3243
4.6,1.129,0.21509,1.3613
4.7,1.1568,0.21886,1.3985
4.8,1.1848,0.22259,1.436
4.9,1.2129,0.22629,1.4737
5,1.2412,0.22996,1.5118
5.1,1.2696,0.23359,1.5502
5.2,1.2981,0.2372,1.5888
5.3,1.3267,0.24077,1.6277
5.4,1.3554,0.24431,1.6669
5.5,1.3843,0.24783,1.7064
5.6,1.4133,0.25131,1.7461
5.7,1.4424,0.25476,1.7862
5.8,1.4716,0.25818,1.8264
5.9,1.501,0.26158,1.867
6,1.5304,0.26494,1.9078
6.1,1.56,0.26827,1.9489
6.2,1.5897,0.27158,1.9902
6.3,1.6195,0.27485,2.0318
6.4,1.6494,0.2781,2.0736
6.5,1.6794,0.28132,2.1157
6.6,1.7096,0.28451,2.1581
6.7,1.7398,0.28767,2.2007
6.8,1.7702,0.29081,2.2436
6.9,1.8006,0.29391,2.2867
7,1.8312,0.297,2.3301
7.1,1.8619,0.30005,2.3737
7.2,1.8926,0.30308,2.4176
7.3,1.9235,0.30608,2.4617
7.4,1.9545,0.30905,2.506
7.5,1.9856,0.312,2.5506
7.6,2.0168,0.31493,2.5954
7.7,2.0481,0.31783,2.6405
7.8,2.0795,0.32069,2.6857
7.9,2.111,0.32353,2.7313
8,2.1426,0.32634,2.777
8.1,2.1743,0.32913,2.823
8.2,2.2062,0.33188,2.8692
8.3,2.2382,0.33462,2.9156
8.4,2.2703,0.33733,2.9622
8.5,2.3024,0.34001,3.0091
8.6,2.3347,0.34267,3.0562
8.7,2.3671,0.34531,3.1036
8.8,2.3995,0.34792,3.1511
8.9,2.4321,0.35051,3.1989
9,2.4647,0.35307,3.2468
9.1,2.4975,0.35561,3.295
9.2,2.5303,0.35813,3.3434
9.3,2.5632,0.36063,3.392
9.4,2.5963,0.3631,3.4408
9.5,2.6294,0.36555,3.4898
9.6,2.6626,0.36797,3.5391
9.7,2.6959,0.37038,3.5885
9.8,2.7293,0.37276,3.6381
9.9,2.7627,0.37512,3.6879
10,2.7963,0.37746,3.738
10.1,2.8299,0.37978,3.7882
10.2,2.8636,0.38207,3.8386
10.3,2.8974,0.38435,3.8893
10.4,2.9313,0.3866,3.9401
10.5,2.9653,0.38884,3.9911
10.6,2.9993,0.39105,4.0423
10.7,3.0335,0.39324,4.0937
10.8,3.0677,0.39542,4.1453
10.9,3.102,0.39757,4.197
11,3.1363,0.39971,4.249
11.1,3.1708,0.40181,4.3012
11.2,3.2053,0.40389,4.3535
11.3,3.2399,0.40595,4.406
11.4,3.2746,0.40799,4.4587
11.5,3.3093,0.41001,4.5116
11.6,3.3441,0.41201,4.5646
11.7,3.379,0.41399,4.6179
11.8,3.414,0.41595,4.6713
11.9,3.449,0.41789,4.7249
12,3.4841,0.41981,4.7786
12.1,3.5193,0.42172,4.8325
12.2,3.5545,0.4236,4.8867
12.3,3.5899,0.42547,4.9409
12.4,3.6254,0.42731,4.9954
12.5,3.6609,0.42914,5.05
12.6,3.6965,0.43095,5.1048
12.7,3.7322,0.43275,5.1597
12.8,3.7679,0.43452,5.2149
12.9,3.8037,0.43628,5.2702
13,3.8396,0.43802,5.3256
13.1,3.8756,0.43974,5.3812
13.2,3.9116,0.44145,5.437
13.3,3.9477,0.44313,5.4931
13.4,3.9839,0.4448,5.5494
13.5,4.0201,0.44646,5.606
13.6,4.0564,0.4481,5.6627
13.7,4.0928,0.44972,5.7196
13.8,4.1293,0.45133,5.7767
13.9,4.1658,0.45292,5.8339
14,4.2023,0.45449,5.8914
14.1,4.239,0.45605,5.949
14.2,4.2757,0.45759,6.0069
14.3,4.3124,0.45912,6.0649
14.4,4.3493,0.46065,6.1231
14.5,4.3862,0.46218,6.1815
14.6,4.4231,0.46371,6.2401
14.7,4.4601,0.46523,6.2988
14.8,4.4972,0.46675,6.3578
14.9,4.5343,0.46827,6.4169
15,4.5715,0.46979,6.4763
15.1,4.6095,0.4713,6.5358
15.2,4.6477,0.47282,6.5955
15.3,4.6863,0.4744,6.6555
15.4,4.7252,0.47603,6.7156
15.5,4.7644,0.4777,6.7759
15.6,4.8041,0.4794,6.8364
15.7,4.8441,0.48115,6.8971
15.8,4.8846,0.48294,6.958
15.9,4.9255,0.48478,7.0191
16,4.9667,0.48668,7.0804
16.1,5.0083,0.48863,7.1419
16.2,5.0504,0.49062,7.2036
16.3,5.0929,0.49265,7.2655
16.4,5.1359,0.49473,7.3276
16.5,5.1794,0.49688,7.3899
16.6,5.2235,0.49908,7.4524
16.7,5.268,0.50135,7.5152
16.8,5.3131,0.50368,7.5784
16.9,5.3585,0.50608,7.6418
17,5.4042,0.50855,7.7055
17.1,5.4504,0.51104,7.7694
17.2,5.497,0.51358,7.8336
17.3,5.5441,0.51617,7.898
17.4,5.5917,0.51882,7.9627
17.5,5.6397,0.52153,8.0276
17.6,5.6882,0.52429,8.0927
17.7,5.7371,0.52711,8.1582
17.8,5.7865,0.52998,8.2239
17.9,5.8361,0.53292,8.2898
18,5.8862,0.53589,8.356
18.1,5.9366,0.5389,8.4225
18.2,5.9875,0.54197,8.4893
18.3,6.0387,0.54508,8.5564
18.4,6.0904,0.54824,8.6237
18.5,6.1424,0.55145,8.6913
18.6,6.1948,0.5547,8.7592
18.7,6.2476,0.558,8.8275
18.8,6.3008,0.56135,8.896
18.9,6.3543,0.56473,8.9648
19,6.4082,0.56816,9.0339
19.1,6.4624,0.57163,9.1033
19.2,6.517,0.57514,9.173
19.3,6.5719,0.5787,9.243
19.4,6.6272,0.5823,9.3134
19.5,6.6829,0.58595,9.3841
19.6,6.739,0.58964,9.4551
19.7,6.7961,0.59337,9.5264
19.8,6.8538,0.59732,9.5981
19.9,6.9121,0.60156,9.6701
20,6.9711,0.60597,9.7425
20.1,7.0307,0.61055,9.8152
20.2,7.091,0.61529,9.8903
20.3,7.1521,0.62054,9.9672
20.4,7.2139,0.62625,10.046
20.5,7.2769,0.63234,10.126
20.6,7.341,0.63879,10.208
20.7,7.4062,0.64579,10.292
20.8,7.4724,0.65324,10.378
20.9,7.5398,0.66114,10.467
21,7.6083,0.6695,10.559
21.1,7.678,0.67833,10.652
21.2,7.7491,0.68762,10.747
21.3,7.821,0.69737,10.844
21.4,7.894,0.70757,10.943
21.5,7.9681,0.71822,11.045
21.6,8.0434,0.72931,11.15
21.7,8.12,0.74086,11.257
21.8,8.1978,0.75279,11.368
21.9,8.2769,0.76513,11.481
22,8.3573,0.7779,11.597
22.1,8.4388,0.7911,11.714
22.2,8.5211,0.80474,11.834
22.3,8.6046,0.81881,11.956
22.4,8.6892,0.83332,12.081
22.5,8.7749,0.84825,12.208
22.6,8.8617,0.86363,12.337
22.7,8.9497,0.87943,12.468
22.8,9.0388,0.89561,12.601
22.9,9.129,0.91212,12.737
23,9.2201,0.92904,12.875
23.1,9.3122,0.94637,13.015
23.2,9.4054,0.96411,13.157
23.3,9.4996,0.98225,13.301
23.4,9.5947,1.0008,13.447
23.5,9.6909,1.0198,13.595
23.6,9.7881,1.0391,13.745
23.7,9.8862,1.0589,13.896
23.8,9.9858,1.079,14.049
23.9,10.087,1.0995,14.204
24,10.189,1.1203,14.361
24.1,10.292,1.1415,14.52
24.2,10.396,1.163,14.681
24.3,10.501,1.185,14.843
24.4,10.608,1.2073,15.007
