Time (min),wt,mko,tko
0,0.76944,0.53775,0.80779
0.1,0.77006,0.53775,0.80825
0.2,0.77141,0.53776,0.80924
0.3,0.77349,0.53777,0.81077
0.4,0.77618,0.53782,0.81275
0.5,0.77958,0.53787,0.81525
0.6,0.78367,0.53792,0.81826
0.7,0.78846,0.53797,0.82179
0.8,0.79395,0.53802,0.82583
0.9,0.80012,0.53807,0.83039
1,0.80698,0.53812,0.83544
1.1,0.81452,0.53817,0.84099
1.2,0.82276,0.53822,0.84705
1.3,0.83168,0.53826,0.85361
1.4,0.84129,0.53835,0.86068
1.5,0.85154,0.53844,0.86826
1.6,0.86247,0.53853,0.87631
1.7,0.87407,0.53862,0.88484
1.8,0.88635,0.53871,0.89386
1.9,0.8993,0.53879,0.90338
2,0.91288,0.53888,0.91338
2.1,0.9271,0.53897,0.92388
2.2,0.94197,0.53906,0.93484
2.3,0.95749,0.53915,0.94625
2.4,0.97366,0.53927,0.95813
2.5,0.99048,0.5394,0.97048
2.6,1.0079,0.53952,0.98331
2.7,1.0259,0.53965,0.99661
2.8,1.0446,0.53977,1.0104
2.9,1.0639,0.5399,1.0246
3,1.0838,0.54003,1.0392
3.1,1.1043,0.54015,1.0543
3.2,1.1254,0.54028,1.0698
3.3,1.1471,0.5404,1.0858
3.4,1.1694,0.54054,1.1022
3.5,1.1923,0.54068,1.1191
3.6,1.2158,0.54082,1.1364
3.7,1.2399,0.54096,1.1541
3.8,1.2645,0.54111,1.1723
3.9,1.2897,0.54126,1.1908
4,1.3155,0.54142,1.2098
4.1,1.3419,0.54158,1.2292
4.2,1.3688,0.54174,1.2491
4.3,1.3963,0.5419,1.2693
4.4,1.4243,0.54207,1.2899
4.5,1.4529,0.54224,1.311
4.6,1.482,0.54242,1.3324
4.7,1.5117,0.54259,1.3543
4.8,1.5419,0.54278,1.3765
4.9,1.5727,0.54296,1.3992
5,1.6039,0.54315,1.4222
5.1,1.6358,0.54334,1.4456
5.2,1.6681,0.54353,1.4694
5.3,1.7009,0.54373,1.4936
5.4,1.7343,0.54393,1.5182
5.5,1.7682,0.54413,1.5432
5.6,1.8026,0.54434,1.5685
5.7,1.8375,0.54455,1.5942
5.8,1.8729,0.54476,1.6203
5.9,1.9088,0.54498,1.6467
6,1.9452,0.5452,1.6735
6.1,1.9821,0.54542,1.7007
6.2,2.0194,0.54565,1.7282
6.3,2.0573,0.54588,1.7561
6.4,2.0956,0.54611,1.7843
6.5,2.1345,0.54634,1.8129
6.6,2.1737,0.54658,1.8419
6.7,2.2135,0.54683,1.8712
6.8,2.2537,0.54707,1.9008
6.9,2.2945,0.54732,1.9308
7,2.3356,0.54757,1.9611
7.1,2.3773,0.54783,1.9918
7.2,2.4193,0.54809,2.0228
7.3,2.4619,0.54835,2.0541
7.4,2.5049,0.54861,2.0857
7.5,2.5483,0.54886,2.1177
7.6,2.5922,0.54912,2.15
7.7,2.6365,0.54939,2.1827
7.8,2.6812,0.54965,2.2156
7.9,2.7264,0.54992,2.2489
8,2.772,0.55019,2.2825
8.1,2.818,0.55046,2.3164
8.2,2.8645,0.55074,2.3507
8.3,2.9114,0.55102,2.3852
8.4,2.9587,0.5513,2.42
8.5,3.0064,0.55158,2.4552
8.6,3.0545,0.55187,2.4907
8.7,3.1031,0.55216,2.5264
8.8,3.152,0.55245,2.5625
8.9,3.2014,0.55274,2.5988
9,3.2511,0.55304,2.6355
9.1,3.3013,0.55334,2.6724
9.2,3.3518,0.55364,2.7097
9.3,3.4028,0.55395,2.7472
9.4,3.4541,0.55426,2.785
9.5,3.5058,0.55457,2.8231
9.6,3.558,0.55488,2.8615
9.7,3.6105,0.5552,2.9001
9.8,3.6633,0.55552,2.9391
9.9,3.7166,0.55584,2.9783
10,3.7702,0.55616,3.0178
10.1,3.8243,0.55649,3.0576
10.2,3.8786,0.55682,3.0976
10.3,3.9334,0.55715,3.1379
10.4,3.9885,0.55749,3.1785
10.5,4.044,0.55782,3.2194
10.6,4.0999,0.55816,3.2605
10.7,4.1561,0.55851,3.3019
10.8,4.2126,0.55885,3.3435
10.9,4.2696,0.5592,3.3854
11,4.3268,0.55955,3.4276
11.1,4.3844,0.55991,3.47
11.2,4.4423,0.56026,3.5127
11.3,4.5006,0.56062,3.5556
11.4,4.5592,0.56098,3.5988
11.5,4.6182,0.56134,3.6422
11.6,4.6775,0.5617,3.6859
11.7,4.7371,0.56205,3.7298
11.8,4.7971,0.56241,3.774
11.9,4.8573,0.56277,3.8184
12,4.918,0.56314,3.8631
12.1,4.9789,0.5635,3.908
12.2,5.0402,0.56387,3.9531
12.3,5.1018,0.56424,3.9985
12.4,5.1637,0.56461,4.0441
12.5,5.2259,0.56499,4.0899
