Time (min),wt,mko,tko
0,1.1542,0.80662,0.80779
0.1,1.1551,0.80663,0.80825
0.2,1.1571,0.80664,0.80924
0.3,1.1602,0.80666,0.81077
0.4,1.1643,0.80673,0.81275
0.5,1.1694,0.80681,0.81525
0.6,1.1755,0.80688,0.81826
0.7,1.1827,0.80695,0.82179
0.8,1.1909,0.80703,0.82583
0.9,1.2002,0.8071,0.83039
1,1.2105,0.80718,0.83544
1.1,1.2218,0.80725,0.84099
1.2,1.2341,0.80732,0.84705
1.3,1.2475,0.8074,0.85361
1.4,1.2619,0.80753,0.86068
1.5,1.2773,0.80766,0.86826
1.6,1.2937,0.80779,0.87631
1.7,1.3111,0.80793,0.88484
1.8,1.3295,0.80806,0.89386
1.9,1.3489,0.80819,0.90338
2,1.3693,0.80832,0.91338
2.1,1.3907,0.80846,0.92388
2.2,1.413,0.80859,0.93484
2.3,1.4362,0.80872,0.94625
2.4,1.4605,0.80891,0.95813
2.5,1.4857,0.8091,0.97048
2.6,1.5119,0.80928,0.98331
2.7,1.5389,0.80947,0.99661
2.8,1.5669,0.80966,1.0104
2.9,1.5958,0.80985,1.0246
3,1.6257,0.81004,1.0392
3.1,1.6564,0.81023,1.0543
3.2,1.6881,0.81041,1.0698
3.3,1.7207,0.8106,1.0858
3.4,1.7541,0.81081,1.1022
3.5,1.7885,0.81101,1.1191
3.6,1.8237,0.81123,1.1364
3.7,1.8598,0.81145,1.1541
3.8,1.8968,0.81167,1.1723
3.9,1.9346,0.8119,1.1908
4,1.9733,0.81213,1.2098
4.1,2.0128,0.81237,1.2292
4.2,2.0532,0.81261,1.2491
4.3,2.0944,0.81285,1.2693
4.4,2.1365,0.81311,1.2899
4.5,2.1793,0.81336,1.311
4.6,2.223,0.81363,1.3324
4.7,2.2675,0.81389,1.3543
4.8,2.3129,0.81416,1.3765
4.9,2.359,0.81444,1.3992
5,2.4059,0.81472,1.4222
5.1,2.4536,0.81501,1.4456
5.2,2.5021,0.8153,1.4694
5.3,2.5514,0.81559,1.4936
5.4,2.6015,0.81589,1.5182
5.5,2.6523,0.8162,1.5432
5.6,2.7038,0.81651,1.5685
5.7,2.7562,0.81682,1.5942
5.8,2.8093,0.81714,1.6203
5.9,2.8631,0.81747,1.6467
6,2.9177,0.8178,1.6735
6.1,2.9731,0.81813,1.7007
6.2,3.0291,0.81847,1.7282
6.3,3.0859,0.81881,1.7561
6.4,3.1434,0.81916,1.7843
6.5,3.2017,0.81952,1.8129
6.6,3.2606,0.81987,1.8419
6.7,3.3203,0.82024,1.8712
6.8,3.3806,0.82061,1.9008
6.9,3.4417,0.82098,1.9308
7,3.5034,0.82136,1.9611
7.1,3.5659,0.82174,1.9918
7.2,3.629,0.82213,2.0228
7.3,3.6928,0.82252,2.0541
7.4,3.7573,0.82291,2.0857
7.5,3.8224,0.8233,2.1177
7.6,3.8882,0.82369,2.15
7.7,3.9547,0.82408,2.1827
7.8,4.0218,0.82448,2.2156
7.9,4.0896,0.82488,2.2489
8,4.158,0.82528,2.2825
8.1,4.227,0.82569,2.3164
8.2,4.2967,0.82611,2.3507
8.3,4.3671,0.82652,2.3852
8.4,4.438,0.82695,2.42
8.5,4.5096,0.82737,2.4552
8.6,4.5818,0.8278,2.4907
8.7,4.6546,0.82823,2.5264
8.8,4.728,0.82867,2.5625
8.9,4.802,0.82911,2.5988
9,4.8767,0.82956,2.6355
9.1,4.9519,0.83001,2.6724
9.2,5.0277,0.83046,2.7097
9.3,5.1042,0.83092,2.7472
9.4,5.1812,0.83138,2.785
9.5,5.2588,0.83185,2.8231
9.6,5.3369,0.83232,2.8615
9.7,5.4157,0.8328,2.9001
9.8,5.495,0.83327,2.9391
9.9,5.5749,0.83376,2.9783
10,5.6554,0.83424,3.0178
10.1,5.7364,0.83473,3.0576
10.2,5.818,0.83523,3.0976
10.3,5.9001,0.83573,3.1379
10.4,5.9828,0.83623,3.1785
10.5,6.066,0.83673,3.2194
10.6,6.1498,0.83725,3.2605
10.7,6.2341,0.83776,3.3019
10.8,6.319,0.83828,3.3435
10.9,6.4043,0.8388,3.3854
11,6.4902,0.83933,3.4276
11.1,6.5766,0.83986,3.47
11.2,6.6635,0.84039,3.5127
11.3,6.7509,0.84093,3.5556
11.4,6.8388,0.84148,3.5988
11.5,6.9273,0.84201,3.6422
11.6,7.0162,0.84254,3.6859
11.7,7.1056,0.84308,3.7298
11.8,7.1956,0.84362,3.774
11.9,7.286,0.84416,3.8184
12,7.3769,0.8447,3.8631
12.1,7.4684,0.84525,3.908
12.2,7.5603,0.84581,3.9531
12.3,7.6526,0.84636,3.9985
12.4,7.7455,0.84692,4.0441
12.5,7.8388,0.84748,4.0899
12.6,7.9326,0.84804,4.136
12.7,8.0269,0.84861,4.1822
12.8,8.1217,0.84918,4.2287
12.9,8.2169,0.84976,4.2755
13,8.3125,0.85033,4.3224
13.1,8.4087,0.85091,4.3696
13.2,8.5053,0.8515,4.417
13.3,8.6023,0.85208,4.4647
13.4,8.6998,0.85267,4.5125
13.5,8.7977,0.85327,4.5606
13.6,8.8961,0.85386,4.6088
13.7,8.9949,0.85446,4.6573
13.8,9.0942,0.85507,4.706
13.9,9.1939,0.85567,4.755
14,9.294,0.85628,4.8041
14.1,9.3945,0.85689,4.8534
14.2,9.4954,0.85751,4.903
14.3,9.5968,0.85813,4.9527
14.4,9.6985,0.85875,5.0027
14.5,9.8007,0.85937,5.0528
14.6,9.9032,0.86,5.1032
14.7,10.006,0.86063,5.1538
14.8,10.11,0.86127,5.2045
14.9,10.213,0.8619,5.2555
15,10.318,0.86255,5.3067
15.1,10.422,0.86319,5.358
15.2,10.527,0.86384,5.4096
15.3,10.633,0.86449,5.4614
15.4,10.738,0.86514,5.5133
15.5,10.844,0.86579,5.5654
15.6,10.951,0.86644,5.6177
15.7,11.058,0.86709,5.6702
15.8,11.165,0.86773,5.7229
15.9,11.273,0.86839,5.7757
16,11.381,0.86904,5.8287
16.1,11.489,0.8697,5.882
16.2,11.598,0.87035,5.9354
16.3,11.707,0.87101,5.9889
16.4,11.817,0.87168,6.0427
16.5,11.927,0.87234,6.0966
16.6,12.037,0.87301,6.1507
16.7,12.147,0.87368,6.205
16.8,12.258,0.87436,6.2595
16.9,12.37,0.87503,6.3141
17,12.481,0.87571,6.3689
17.1,12.593,0.87639,6.4238
17.2,12.706,0.87707,6.479
17.3,12.818,0.87776,6.5343
