Time (min),wt,mko,tko
0,0.0088889,0.0062123,0.0093319
0.1,0.017786,0.012425,0.01867
0.2,0.026703,0.018637,0.028022
0.3,0.035648,0.02485,0.037395
0.4,0.04463,0.031063,0.046796
0.5,0.053659,0.037277,0.056231
0.6,0.062744,0.043492,0.065707
0.7,0.071896,0.049707,0.075233
0.8,0.081123,0.055923,0.084814
0.9,0.090435,0.06214,0.094457
1,0.099841,0.068357,0.10417
1.1,0.10935,0.074575,0.11396
1.2,0.11897,0.080794,0.12383
1.3,0.12872,0.087013,0.13379
1.4,0.1386,0.093234,0.14385
1.5,0.14862,0.099456,0.15402
1.6,0.15878,0.10568,0.16429
1.7,0.16911,0.1119,0.17468
1.8,0.17961,0.11813,0.1852
1.9,0.19028,0.12435,0.19584
2,0.20114,0.13058,0.20662
2.1,0.21219,0.13681,0.21755
2.2,0.22345,0.14304,0.22862
2.3,0.23492,0.14927,0.23986
2.4,0.2466,0.15551,0.25125
2.5,0.25852,0.16174,0.26281
2.6,0.27068,0.16798,0.27454
2.7,0.28308,0.17422,0.28646
2.8,0.29573,0.18046,0.29857
2.9,0.30865,0.1867,0.31086
3,0.32184,0.19294,0.32336
3.1,0.3353,0.19919,0.33606
3.2,0.34906,0.20543,0.34897
3.3,0.3631,0.21168,0.3621
3.4,0.37745,0.21793,0.37546
3.5,0.39212,0.22418,0.38904
3.6,0.40709,0.23044,0.40285
3.7,0.4224,0.23669,0.41691
3.8,0.43803,0.24295,0.43121
3.9,0.45401,0.24921,0.44576
4,0.47034,0.25547,0.46056
4.1,0.48702,0.26174,0.47563
4.2,0.50407,0.268,0.49097
4.3,0.52148,0.27427,0.50658
4.4,0.53928,0.28054,0.52247
4.5,0.55746,0.28682,0.53864
4.6,0.57603,0.29309,0.5551
4.7,0.595,0.29937,0.57185
4.8,0.61437,0.30565,0.58891
4.9,0.63416,0.31193,0.60626
5,0.65437,0.31822,0.62393
5.1,0.67501,0.32451,0.64191
5.2,0.69608,0.3308,0.66021
5.3,0.71758,0.33709,0.67884
5.4,0.73954,0.34339,0.69779
5.5,0.76195,0.34969,0.71708
5.6,0.78482,0.35599,0.7367
5.7,0.80816,0.36229,0.75667
5.8,0.83197,0.3686,0.77699
5.9,0.85625,0.37491,0.79766
6,0.88103,0.38122,0.81869
6.1,0.90629,0.38754,0.84008
6.2,0.93206,0.39386,0.86184
6.3,0.95833,0.40018,0.88397
6.4,0.9851,0.4065,0.90648
6.5,1.0124,0.41283,0.92936
6.6,1.0402,0.41916,0.95263
6.7,1.0686,0.4255,0.97629
6.8,1.0974,0.43184,1.0003
6.9,1.1269,0.43818,1.0248
7,1.1568,0.44452,1.0497
7.1,1.1874,0.45087,1.0749
7.2,1.2184,0.45722,1.1006
7.3,1.2501,0.46357,1.1267
7.4,1.2823,0.46993,1.1532
7.5,1.3151,0.47629,1.1801
7.6,1.3484,0.48266,1.2075
7.7,1.3824,0.48903,1.2352
7.8,1.4169,0.4954,1.2635
7.9,1.4521,0.50177,1.2921
8,1.4878,0.50815,1.3212
8.1,1.5241,0.51453,1.3508
8.2,1.5611,0.52092,1.3808
8.3,1.5987,0.52731,1.4112
8.4,1.6369,0.5337,1.4422
8.5,1.6757,0.5401,1.4735
8.6,1.7151,0.5465,1.5054
8.7,1.7552,0.55291,1.5377
8.8,1.796,0.55931,1.5705
8.9,1.8374,0.56573,1.6038
9,1.8794,0.57214,1.6375
9.1,1.9221,0.57856,1.6717
9.2,1.9655,0.58499,1.7065
9.3,2.0095,0.59142,1.7417
9.4,2.0542,0.59785,1.7774
9.5,2.0996,0.60429,1.8136
9.6,2.1456,0.61073,1.8503
9.7,2.1924,0.61717,1.8875
9.8,2.2398,0.62362,1.9252
9.9,2.2879,0.63007,1.9634
10,2.3368,0.63653,2.0022
10.1,2.3863,0.64299,2.0415
10.2,2.4366,0.64946,2.0812
10.3,2.4875,0.65593,2.1216
10.4,2.5392,0.66241,2.1624
10.5,2.5916,0.66889,2.2038
10.6,2.6447,0.67537,2.2457
10.7,2.6986,0.68186,2.2881
10.8,2.7532,0.68835,2.3311
10.9,2.8085,0.69485,2.3747
11,2.8646,0.70135,2.4187
11.1,2.9214,0.70786,2.4634
11.2,2.9789,0.71437,2.5086
11.3,3.0373,0.72088,2.5543
11.4,3.0964,0.7274,2.6006
11.5,3.1562,0.73392,2.6475
11.6,3.2168,0.74045,2.6949
11.7,3.2782,0.74699,2.7429
11.8,3.3404,0.75353,2.7915
11.9,3.4033,0.76007,2.8406
12,3.4671,0.76662,2.8903
12.1,3.5316,0.77317,2.9406
12.2,3.5969,0.77973,2.9915
12.3,3.663,0.78629,3.043
12.4,3.7299,0.79285,3.095
12.5,3.7976,0.79943,3.1477
12.6,3.8661,0.806,3.2009
12.7,3.9354,0.81258,3.2547
12.8,4.0056,0.81917,3.3092
12.9,4.0765,0.82576,3.3642
13,4.1483,0.83236,3.4198
13.1,4.2209,0.83896,3.4761
13.2,4.2943,0.84557,3.5329
13.3,4.3685,0.85218,3.5904
13.4,4.4436,0.8588,3.6485
13.5,4.5195,0.86542,3.7072
13.6,4.5963,0.87204,3.7665
13.7,4.6739,0.87868,3.8264
13.8,4.7524,0.88531,3.887
13.9,4.8317,0.89196,3.9482
14,4.9118,0.89861,4.01
14.1,4.9928,0.90526,4.0725
14.2,5.0747,0.91192,4.1355
14.3,5.1575,0.91858,4.1993
14.4,5.2411,0.92525,4.2636
14.5,5.3255,0.93192,4.3286
14.6,5.4109,0.9386,4.3943
14.7,5.4971,0.94529,4.4605
14.8,5.5842,0.95198,4.5275
14.9,5.6722,0.95867,4.5951
15,5.7611,0.96537,4.6633
15.1,5.8508,0.97208,4.7322
15.2,5.9415,0.97879,4.8017
15.3,6.033,0.98551,4.8719
15.4,6.1255,0.99223,4.9428
15.5,6.2188,0.99896,5.0143
15.6,6.3131,1.0057,5.0865
15.7,6.4082,1.0124,5.1594
15.8,6.5043,1.0192,5.2329
15.9,6.6013,1.0259,5.3071
