Time (min),LPS,CpG,PIC
0,0.00016323,0.00078752,0.00016323
1,0.00016341,0.00078752,0.00016323
2,0.00016448,0.00078754,0.00016323
3,0.00017053,0.00078796,0.00016323
4,0.00020465,0.00079073,0.00016323
5,0.0003695,0.00080139,0.00016323
6,0.00090781,0.00083337,0.00016323
7,0.00234,0.00091569,0.00016324
8,0.0053576,0.0011003,0.00016326
9,0.010624,0.0014803,0.00016331
10,0.018652,0.0021499,0.0001634
11,0.029829,0.0032742,0.00016357
12,0.043721,0.0049931,0.00016385
13,0.060308,0.0074614,0.00016445
14,0.07896,0.010756,0.00016526
15,0.099264,0.014941,0.00016667
16,0.12084,0.02004,0.00016894
17,0.14317,0.026165,0.00017195
18,0.16596,0.033074,0.00017755
19,0.18895,0.040705,0.00018444
20,0.21195,0.048962,0.00019615
21,0.23484,0.057742,0.00021217
22,0.25751,0.066968,0.00023364
23,0.27992,0.076523,0.000267
24,0.30203,0.086152,0.00030551
25,0.32386,0.0959,0.00036822
26,0.34537,0.10559,0.00044459
27,0.36669,0.11525,0.0005477
28,0.38785,0.12464,0.00067853
29,0.40883,0.1339,0.000844
30,0.42942,0.14284,0.0010579
31,0.44934,0.15142,0.0013112
32,0.4684,0.15977,0.001642
33,0.48534,0.16769,0.0020131
34,0.50081,0.1753,0.0024993
35,0.51513,0.18246,0.003021
36,0.52726,0.18929,0.0037033
37,0.53824,0.19567,0.0044092
38,0.5477,0.20169,0.0053269
39,0.55575,0.20728,0.006273
40,0.56222,0.21251,0.0074739
41,0.56709,0.2172,0.0086748
42,0.57063,0.2214,0.010114
43,0.57297,0.22561,0.011656
44,0.57399,0.22961,0.013308
45,0.57376,0.23261,0.015207
46,0.57227,0.23561,0.017105
47,0.56964,0.23862,0.019328
48,0.566,0.24079,0.021577
49,0.56141,0.24277,0.023999
50,0.55582,0.24473,0.02657
51,0.54937,0.24587,0.029181
52,0.54207,0.24701,0.032021
53,0.53422,0.24797,0.034861
54,0.52565,0.24833,0.037873
55,0.51644,0.24869,0.040937
56,0.50678,0.24874,0.044002
57,0.49672,0.2484,0.0471
58,0.48618,0.24805,0.050259
59,0.4753,0.24728,0.053419
60,0.46433,0.24629,0.056578
61,0.45353,0.24529,0.059631
62,0.44307,0.24372,0.062676
63,0.43298,0.24205,0.065721
64,0.4236,0.24038,0.068601
65,0.41451,0.2386,0.071328
66,0.40601,0.23625,0.074055
67,0.39788,0.23391,0.076732
68,0.39001,0.23157,0.078972
69,0.38269,0.22896,0.081212
70,0.37552,0.22605,0.083452
71,0.36871,0.22314,0.085279
72,0.36222,0.22023,0.086917
73,0.35603,0.21696,0.088556
74,0.35011,0.2136,0.090008
75,0.34444,0.21023,0.090958
76,0.33901,0.20683,0.091908
77,0.33386,0.20311,0.092858
78,0.32886,0.19939,0.09348
