Time (min),LPS,CpG,PIC
0,0.00016323,0.00078752,0.00016323
1,0.00016341,0.00078752,0.00016323
2,0.00016448,0.00078754,0.00016323
3,0.00017054,0.00078796,0.00016323
4,0.00020468,0.00079074,0.00016323
5,0.0003697,0.00080142,0.00016323
6,0.00090877,0.00083353,0.00016323
7,0.0023444,0.00091626,0.00016325
8,0.0053691,0.0011021,0.00016327
9,0.010649,0.0014851,0.00016333
10,0.018699,0.0021619,0.00016344
11,0.029909,0.0032981,0.00016365
12,0.043837,0.005044,0.00016401
13,0.060471,0.0075485,0.00016476
14,0.079167,0.010895,0.00016578
15,0.099523,0.015153,0.00016759
16,0.12115,0.020347,0.00017047
17,0.14353,0.026597,0.00017441
18,0.16636,0.03366,0.00018157
19,0.1894,0.041468,0.00019007
20,0.21246,0.049925,0.00020577
21,0.2354,0.058926,0.00022583
22,0.25812,0.068384,0.00025475
23,0.2806,0.078218,0.00029684
24,0.3028,0.088135,0.00034747
25,0.32468,0.098193,0.00042802
26,0.34636,0.10822,0.00052128
27,0.36783,0.11823,0.00066035
28,0.38909,0.12801,0.00081661
29,0.41023,0.13765,0.0010401
30,0.43104,0.14705,0.0012926
31,0.45126,0.15606,0.0016336
32,0.47036,0.1649,0.0020197
33,0.48726,0.17337,0.0025159
34,0.50397,0.18148,0.0030769
35,0.51749,0.18934,0.0037678
36,0.53079,0.19667,0.0045464
37,0.5417,0.20391,0.0054705
38,0.55133,0.21047,0.0065065
39,0.55946,0.21702,0.0076978
40,0.56615,0.22288,0.0090452
41,0.57141,0.22869,0.010575
42,0.57528,0.23387,0.012104
43,0.5778,0.23884,0.014008
44,0.57884,0.24381,0.01594
45,0.57866,0.24817,0.018032
46,0.57729,0.25225,0.020363
47,0.57492,0.25632,0.022693
48,0.5714,0.25992,0.025341
49,0.56688,0.26321,0.028035
50,0.56143,0.2665,0.030832
51,0.55506,0.26942,0.033824
52,0.54783,0.27203,0.036817
53,0.53988,0.27464,0.039979
54,0.53131,0.27698,0.043178
55,0.52217,0.27901,0.046406
56,0.51251,0.28103,0.049703
57,0.50228,0.28284,0.053
58,0.49162,0.28429,0.056297
59,0.48079,0.28574,0.059513
60,0.4697,0.2872,0.062707
61,0.45881,0.28856,0.0659
62,0.44811,0.28948,0.069001
63,0.43806,0.2904,0.071858
64,0.42828,0.29132,0.074715
65,0.41916,0.29224,0.077572
66,0.41041,0.29278,0.080019
67,0.40198,0.2933,0.082346
68,0.39409,0.29381,0.084672
69,0.38639,0.29432,0.086822
70,0.37909,0.29462,0.088489
71,0.3721,0.29482,0.090156
72,0.36532,0.29503,0.091823
73,0.35894,0.29523,0.092947
74,0.3528,0.29534,0.093902
75,0.34689,0.29532,0.094857
76,0.34124,0.2953,0.09562
77,0.33586,0.29529,0.09583
78,0.33067,0.29523,0.09604
