Time (min),LPS,CpG,PIC
0,1,1,1
1,1.4052,1.0002,1
2,2.7815,1.0121,1.0001
3,7.0544,1.0894,1.0007
4,15.755,1.3236,1.0032
5,29.657,1.7914,1.0106
6,47.505,2.5518,1.0286
7,67.343,3.6266,1.0641
8,86.661,4.9986,1.1259
9,103.69,6.6378,1.2245
10,117.62,8.4774,1.3714
11,128.2,10.483,1.5791
12,136.18,12.595,1.8603
13,141.82,14.769,2.2675
14,145.78,16.96,2.7237
15,148.45,19.13,3.3273
16,150.1,21.25,4.0418
17,151.09,23.277,4.8671
18,151.58,25.206,5.8848
19,151.71,27.023,6.972
20,151.55,28.719,8.3117
21,151.18,30.292,9.7433
22,150.66,31.73,11.361
23,150.04,33,13.148
24,149.34,34.202,15.044
25,148.58,35.266,17.174
26,147.8,36.216,19.375
27,146.99,37.102,21.785
28,146.17,37.832,24.238
29,145.34,38.512,26.859
30,144.52,39.104,29.515
31,143.7,39.598,32.281
32,142.89,40.052,35.068
33,142.09,40.439,37.909
34,141.3,40.763,40.753
35,140.52,41.052,43.603
36,139.75,41.271,46.432
37,138.98,41.478,49.228
38,138.23,41.611,51.978
39,137.48,41.744,54.662
40,136.73,41.812,57.259
41,135.99,41.876,59.752
42,135.26,41.891,62.246
43,134.52,41.889,64.476
44,133.8,41.887,66.688
45,133.08,41.847,68.763
46,132.36,41.789,70.635
47,131.64,41.73,72.507
48,130.93,41.648,74.043
49,130.21,41.549,75.531
50,129.5,41.45,76.876
51,128.78,41.337,77.95
52,128.07,41.212,79.025
53,127.35,41.086,79.752
54,126.63,40.953,80.4
55,125.91,40.81,80.905
56,125.2,40.667,81.054
57,124.49,40.52,81.202
58,123.78,40.367,81.351
59,123.08,40.214,81.079
60,122.39,40.061,80.691
61,121.71,39.907,80.303
62,121.04,39.752,79.79
63,120.39,39.596,78.952
64,119.75,39.441,78.114
65,119.13,39.286,77.276
66,118.52,39.136,76.181
67,117.92,38.986,75.01
68,117.35,38.837,73.839
69,116.78,38.687,72.614
70,116.24,38.546,71.243
71,115.71,38.408,69.872
72,115.19,38.271,68.5
73,114.7,38.133,67.075
74,114.21,38.002,65.633
75,113.74,37.879,64.191
76,113.28,37.757,62.761
77,112.83,37.634,61.367
78,112.4,37.516,59.974
79,111.98,37.413,58.58
80,111.58,37.31,57.213
81,111.19,37.207,55.977
82,110.81,37.104,54.741
83,110.45,37.001,53.505
84,110.1,36.898,52.287
85,109.76,36.818,51.274
86,109.44,36.739,50.26
87,109.13,36.66,49.247
88,108.84,36.581,48.234
89,108.56,36.501,47.465
90,108.3,36.422,46.699
91,108.05,36.359,45.932
92,107.81,36.301,45.165
93,107.58,36.244,44.618
94,107.37,36.186,44.094
95,107.16,36.129,43.57
96,106.97,36.072,43.047
97,106.79,36.023,42.704
98,106.62,35.985,42.404
99,106.45,35.947,42.103
100,106.3,35.908,41.802
101,106.15,35.87,41.643
102,106.01,35.832,41.538
103,105.88,35.797,41.433
104,105.75,35.775,41.328
105,105.62,35.753,41.328
106,105.49,35.73,41.389
107,105.36,35.708,41.449
108,105.23,35.686,41.51
109,105.09,35.664,41.645
110,104.95,35.655,41.841
111,104.81,35.647,42.038
112,104.67,35.639,42.234
113,104.53,35.631,42.478
114,104.39,35.624,42.78
115,104.24,35.616,43.081
116,104.1,35.608,43.383
117,103.95,35.6,43.708
118,103.8,35.592,44.074
119,103.65,35.591,44.44
120,103.49,35.591,44.825
121,103.33,35.592,45.225
122,103.15,35.593,45.637
123,102.97,35.596,46.058
124,102.78,35.598,46.485
125,102.59,35.602,46.919
126,102.41,35.606,47.354
127,102.23,35.611,47.794
128,102.05,35.616,48.233
129,101.87,35.621,48.673
130,101.7,35.626,49.111
131,101.54,35.632,49.546
132,101.38,35.638,49.967
133,101.22,35.644,50.383
134,101.06,35.65,50.798
135,100.9,35.655,51.214
136,100.74,35.66,51.63
137,100.58,35.665,52
138,100.42,35.67,52.366
139,100.26,35.675,52.732
140,100.09,35.68,53.098
141,99.924,35.685,53.455
142,99.753,35.69,53.751
143,99.581,35.695,54.046
144,99.405,35.7,54.342
145,99.226,35.704,54.638
146,99.043,35.707,54.904
147,98.858,35.709,55.116
148,98.672,35.711,55.328
149,98.48,35.714,55.54
150,98.287,35.716,55.752
151,98.093,35.719,55.914
152,97.894,35.721,56.037
153,97.693,35.723,56.161
154,97.493,35.722,56.285
155,97.287,35.722,56.408
156,97.08,35.721,56.459
157,96.874,35.72,56.49
158,96.663,35.72,56.522
159,96.452,35.718,56.553
160,96.24,35.715,56.584
161,96.025,35.711,56.611
162,95.809,35.708,56.555
163,95.594,35.704,56.5
164,95.379,35.701,56.444
165,95.162,35.696,56.389
166,94.943,35.69,56.333
167,94.724,35.684,56.257
168,94.505,35.678,56.138
169,94.287,35.672,56.019
170,94.067,35.666,55.899
171,93.847,35.659,55.78
172,93.627,35.651,55.661
173,93.407,35.644,55.52
174,93.187,35.636,55.364
175,92.968,35.629,55.208
176,92.749,35.621,55.052
177,92.529,35.613,54.895
178,92.31,35.604,54.739
179,92.091,35.596,54.574
180,91.874,35.587,54.407
181,91.656,35.579,54.24
182,91.438,35.57,54.072
183,91.22,35.562,53.905
184,91.003,35.553,53.739
185,90.786,35.545,53.585
186,90.569,35.537,53.43
187,90.352,35.529,53.276
188,90.135,35.521,53.121
189,89.919,35.513,52.966
190,89.702,35.505,52.812
191,89.485,35.497,52.657
192,89.269,35.489,52.533
193,89.052,35.481,52.413
194,88.836,35.473,52.293
195,88.62,35.466,52.172
196,88.403,35.46,52.052
197,88.187,35.453,51.932
198,87.971,35.447,51.811
199,87.755,35.441,51.721
200,87.539,35.435,51.645
201,87.323,35.429,51.568
202,87.108,35.423,51.491
203,86.892,35.416,51.415
204,86.676,35.411,51.338
205,86.46,35.407,51.262
206,86.245,35.404,51.206
207,86.03,35.4,51.171
208,85.815,35.396,51.137
209,85.601,35.393,51.102
210,85.386,35.389,51.068
211,85.171,35.385,51.034
212,84.956,35.382,50.999
213,84.742,35.378,50.974
214,84.529,35.377,50.973
215,84.316,35.376,50.972
216,84.103,35.375,50.971
217,83.89,35.374,50.97
218,83.677,35.373,50.968
219,83.464,35.372,50.967
220,83.251,35.371,50.968
221,83.04,35.37,50.988
222,82.831,35.369,51.009
223,82.621,35.37,51.03
224,82.412,35.372,51.05
225,82.202,35.373,51.071
226,81.993,35.375,51.092
227,81.783,35.376,51.112
